6.7 89.3 0.9,-6.4 49.4 -15.4,38.1 -28.3 -1.7,-68.5 93.5 -61.9,-21.3 0.7 -11.1,42.7 58.2 7.6,22.6 133.9 50.3,-18.5 9.2 -26.7,12.3 -26.4 63.6,24.1 -50.6 -11.5
4.078205619973641 89.26547415594229 1.0447952254647195,-5.744285501040467 55.749974353002756 -15.988197004689148,35.97598166390193 -27.90909044711521 -0.7193860562633144,-65.60369028142173 78.55277741103845 -48.17763166593972,-18.69416529447804 -1.144570790144029 -12.032879248071561,20.712807295664444 57.61391180081612 -0.7459850713894982,25.42803270236744 124.49180775301585 46.47163110345052,-15.802836886162993 8.223111804087775 -24.282461209977296,14.61129148897397 -29.657777754836513 61.94200521647472,15.922884863431172 -29.649531306545903 -4.214865116321578
3.5259048534520887 89.44368498596668 1.6221857819585117,-5.671162801206376 56.43355794407132 -15.998346055482415,35.49214606719505 -27.39272493476914 0.09441856163910785,-64.69977181597493 78.30816067018752 -48.60084834321399,-18.98527994560013 -1.1331905381969871 -11.120068547511321,27.108229708090693 53.466627666336684 -1.9349986383124873,24.27460406184416 128.05542382961718 47.89109244827237,-16.21261775029549 8.040741410583173 -24.204470046159514,15.196714901698911 -29.397034543710745 61.08874674062915,15.859914875758903 -29.51497143103536 -4.198713217942563
2.777565220991496 91.44634154558968 2.3137652632642283,-4.501013780918202 60.86801721013057 -16.083692969009892,34.16753608509429 -26.487037662128074 0.15252885503994434,-64.58850730511675 71.13332702952573 -43.83555705442427,-18.75445143357687 -1.518473300976443 -10.106529199521976,29.596669603465518 50.814645850650905 -3.6632188415941047,22.814450182017133 132.8001516699245 49.81662009219279,-16.114037930302246 7.5671025477767255 -23.47803768440751,15.327179059158814 -30.705610019004773 59.391784576237804,15.558551211066796 -28.863770280415828 -4.045298545169579
2.5120712809843306 92.82899407747956 2.7108247482412198,-3.6822980606567146 63.86155193272645 -16.094848909870947,33.50678672178699 -26.110612133344734 -0.12353619097233913,-64.81973899880397 66.44015830146998 -40.666474832747824,-18.373857038629854 -1.8076756497991397 -9.822866355630705,28.37961454680789 50.70547713227706 -4.6159883479898784,22.094614433435616 135.22488649871377 50.8108764132204,-15.770926935850174 7.297751025711105 -22.991158415196224,15.067701771241541 -31.72622541821246 58.61248220302396,15.286138364504543 -28.269294251709187 -3.8912259245014913
3.095209598485542 92.03338433719239 2.530009876656969,-4.140016375002676 62.10337678812104 -15.960354419490935,34.38605152344664 -26.777059988441962 -0.4049728032932315,-65.06099602164717 70.04875620007276 -43.25360654265393,-18.154011743873788 -1.6806011572824688 -10.689808628323133,24.30705518725161 53.41916189737036 -3.9493168894252806,22.762920749882507 133.14104882255504 49.97328384324355,-15.438738889291487 7.536742088074298 -23.304149843745428,14.565494099804896 -31.262180512733252 59.76211139935955,15.249984999665816 -28.17950498382051 -3.8481627697799823
3.8971379736049334 90.31927840575496 1.8865846419988543,-5.134608410052614 58.26419651741628 -15.856559769326154,35.682958874321805 -27.71221189949968 -0.6578048153935157,-65.35404316937334 76.35762390031746 -47.41056393695034,-18.209348928521145 -1.3657402655082593 -11.824707153928399,20.29117464542353 56.79524070410811 -2.315901109805926,24.19770439632869 128.5337937393581 48.11012260592233,-15.346294792659712 7.979173155689901 -23.935341634169657,14.229135648463622 -30.21736659437498 61.46670708453829,15.466490217973618 -28.64358613847534 -3.948477342845972
4.090561159517571 89.50531606092096 0.9748686629731939,-5.596396313963969 56.20097230118575 -16.00896054952608,35.87878929395978 -27.886505994486598 -0.9065273242535762,-65.814863908 77.50012595966365 -47.29569833753593,-18.615413177629094 -1.2003997463280691 -12.086428044526727,19.653118727634382 58.189256488683874 -0.6652646960790692,25.525534000272902 124.21601687008412 46.36617915580811,-15.717131787881435 8.199372643746393 -24.196415372112448,14.519038556287889 -29.912266168517807 61.879263842746894,15.91419042031451 -29.63163233136517 -4.208810335702021
3.1280820005777534 90.82610963247402 -0.017081391922083196,-4.803730282239939 58.57730535046478 -16.554533828502,33.98758220861885 -26.639650207700736 -1.1610543357327365,-66.47155684324045 68.32357019081972 -39.147157188551525,-19.381263657578454 -1.4173748670899666 -10.747079243337039,24.41611550014831 55.782482012411286 0.20700192166420642,26.120555321089423 122.1912330852408 45.552235432525535,-16.65549722979972 7.909545795922091 -23.62273759011591,15.690261229490618 -31.20534330323176 59.8053892932196,16.527652992888004 -31.00713795173157 -4.606277074184316
1.4990625608345733 93.35299895810242 -0.9244071952127211,-3.3240771502218878 63.636520390582675 -17.302378791900175,30.99674780275033 -24.679149855172252 -1.3772906247260133,-67.02668981777819 53.72787205291795 -26.90677678651747,-20.269693579531964 -1.8623440505730962 -8.609441077200419,31.795828326914013 50.814742546067 0.0754862755723793,26.273954577328844 121.46496269331162 45.24190073614629,-17.8237819888021 7.332601850041449 -22.578217202083117,17.237219602799794 -33.243718225218764 56.46800865149115,17.078581469676465 -32.23874379360967 -4.9715885710015515
-0.06714247019899872 95.65656204467648 -1.5876204519864456,-2.0233129509191055 68.5987211916761 -17.98569631414716,28.350498978616688 -23.029132742038417 -1.4986387217382355,-67.10747568250638 40.9399595418431 -16.299670083052163,-20.986489655908564 -2.2913745676859283 -6.830619233265504,37.8950487950217 45.23386771951249 -1.153237326935511,26.48919769846549 120.34873980772262 44.72239934669293,-18.782094461420776 6.809669578476297 -21.618556990381066,18.478253449474842 -34.77836334425343 53.64961620708726,17.30097909442682 -32.703688569251995 -5.101565659909348
-0.9990862773945762 96.61439858063378 -1.9219861582136317,-1.606659567192936 71.15122929671872 -18.355545818669107,27.141410537991256 -22.460715893787714 -1.5083534088488897,-66.477108665536 35.38474040383295 -11.573430949922669,-21.250705081261675 -2.531444402786962 -6.297782650385498,39.677389148498484 41.00099093065259 -3.1978888254476527,27.097712783217297 117.76801516751135 43.54645688444019,-19.137935469564997 6.595252606195561 -21.133507678939747,18.860565086492997 -34.935263739005656 52.72069804196832,17.06231205334335 -32.094561364643965 -4.894987257898764
-1.407478192356071 96.43043050450454 -2.1657007473424046,-2.0853189259741716 70.99972965738283 -18.240134996635486,26.94299376153542 -22.652019174116564 -1.5618497133356604,-65.4862174891208 34.70246190113355 -10.59282576430179,-20.838703759751887 -2.7158631860606506 -6.7319835503321315,37.82517486623817 40.13471736073978 -4.158473237220594,27.687730897359 115.30033651051347 42.413754888894296,-18.703539350844277 6.56963714188803 -20.7959132689124,18.388038228914148 -34.46044527576543 53.271880098819196,16.80660148223685 -31.46625315638034 -4.69108741099834
-1.5871920081452822 95.66665235165469 -2.6441437626642816,-3.2831255720520747 68.39481298037934 -17.48849956993778,26.91865219046407 -22.986081570237772 -1.8610214620784316,-64.64402294827349 34.4317149339771 -9.499423078712613,-19.54232200023944 -3.0606421444611676 -7.539452895511382,34.024687520612844 44.66916808145699 -1.6979845471350545,27.646839189602197 115.23924895706612 42.33362324062388,-17.3464131804106 6.5120804007084985 -20.085071546046642,17.214846126492862 -34.53730280242766 54.41327226019654,17.13352339491599 -32.24144108735945 -4.948011622714665
-1.7520520368731274 94.76776590737937 -3.5540144139613488,-4.920664616413671 63.81769158594366 -16.086366047404525,26.45791178160445 -22.938877213322254 -2.471778273832299,-64.3991111748111 31.32375435696592 -5.562626200942017,-17.35332039928197 -3.694336459666689 -8.15350028138553,30.032309442898516 55.32121149624238 5.4191319144645895,26.5623614742479 119.1611621083853 44.00475891334313,-15.128405370404934 6.257506446459524 -18.660125527485896,15.57206551910773 -36.072327984801035 55.31941737606032,18.420235797731106 -35.31312463389605 -5.952693528209345
-1.7071967102355639 93.5870259184074 -4.443167225962086,-6.197926953140795 58.91238562428366 -14.708687784429005,26.09049550743412 -22.455005283332756 -2.7743603614266434,-64.89432095529715 28.24454982396201 -1.7387937828190698,-15.27152564843302 -4.30451995789208 -8.14399722035044,27.95780908970528 66.16580361797143 12.874608437778924,25.028758651694154 125.02645590102969 46.55954714709923,-13.091276684733048 5.921533212896162 -17.087057265270108,14.078527572366822 -38.57576424047341 55.48978298782304,19.921894040052383 -38.903509532310075 -7.128765143094348
-1.1292439374521237 91.79169322745398 -4.655412830700502,-6.151190845267381 55.688586478721454 -14.247161113517738,26.704687091363944 -21.626434710454653 -1.9333836782811509,-66.17634190540173 29.98298141577237 -2.7726762634649624,-14.613773632438924 -4.440089899993605 -7.1237602095831,30.02208518086094 69.18920082103207 14.60365219884496,23.95720866766279 129.65836792320954 48.63781101618164,-12.584943498896674 5.708049172470791 -16.217024865108023,13.475001604810451 -41.118773132318466 54.52601655823081,20.540814348086265 -40.394909995039214 -7.628373754694478
0.12656257776839766 89.2826131718936 -3.7419646813614116,-4.081406414412998 55.86302333372659 -15.358066801984746,28.828062620078995 -20.555512480538418 0.573551844282908,-68.04890091347379 39.72715489556986 -11.8872888350843,-16.366018978708606 -3.7771862012643926 -4.854357313458615,37.775243542208734 58.44341238798717 6.251058710545512,24.094012744700976 130.30785146804672 49.04772370268098,-14.613479224744166 5.765409130658893 -16.70100809727018,14.356114336798582 -42.95870523922191 52.131097754379276,19.464897204804984 -37.84901860464891 -6.822924640192721
1.151231154822121 87.33862962174736 -2.4776634251937555,-0.8508165615923216 59.42385153796994 -17.308821897274633,30.860101173658986 -19.405474454910298 3.4225140787856962,-68.88302414933025 51.220240047526374 -23.32714455377304,-19.562114112260957 -2.7426791460876085 -1.9745479491249844,48.81105310978191 40.16801862649632 -6.452073843220351,25.21240617761593 126.7508224052938 47.5913875958516,-18.140635310833346 5.914260099076697 -18.00879235194274,16.45433300784834 -44.451932764962606 48.60540757633098,17.5670768329036 -33.33606751925236 -5.377512996828238
0.6508037252319872 87.74201148721592 -2.0843781748203316,2.10794777360255 65.72772551169375 -18.859449021210853,30.422822861310454 -18.361801064724954 4.615049236065611,-66.52632835984267 54.75488246288235 -28.056634841578017,-22.522748775869452 -2.037703800171853 0.5564436170317808,59.27791186272988 25.05509256292705 -14.089812202810567,26.730133495322107 119.68564271511418 44.43401784537353,-21.384771144690056 5.855527402138161 -19.178636559619974,19.187151611133345 -46.35633415049025 44.46757601565834,16.335881853784173 -30.390731092706787 -4.429858545418741
-2.359780904289609 91.79674769151437 -3.5195138588461274,3.553381664659336 73.91329146300568 -18.978260779564867,25.69354555933066 -17.576414536051324 2.598528574045902,-59.42752535620832 42.67693172839726 -18.87583225273638,-23.850387493084316 -2.2360083554194667 1.9439391653173408,65.86492295868418 22.130426583499315 -8.944566302308695,28.114618087096773 110.00800443141335 39.860310771402524,-22.86283316047317 5.350606260979496 -19.398911010775088,21.965639511028833 -49.3048191427524 40.19572857481291,16.98146785023408 -31.888044172450673 -4.905733361001081
-6.723287871014176 97.49075304425837 -5.905133905861501,3.5728930754539205 81.61646981884145 -18.080657892455058,18.70162291005569 -16.96870053895114 -1.0865260454273464,-50.201802086498496 21.580958301931727 -1.3259702471453703,-24.105389650222083 -3.026693067659432 2.5356177278618643,69.01903189475367 28.839360524078465 4.90668999712701,29.180821566402365 99.97020627753768 34.978369909091555,-23.16637618621849 4.580722753081608 -18.901552873925464,24.15960955971519 -53.061089403536066 35.985365193017714,18.78064134091817 -36.121672360097826 -6.258856246419627
-10.376186222389482 101.40908069442534 -7.586862456206559,2.8160851682768517 85.83745444736832 -17.194230182425564,13.106008228947227 -16.359670398419002 -3.5910386558133878,-43.22696841651445 4.089438996401172 13.661583015573829,-24.67639999286498 -3.7246088152444647 3.16243136883175,70.77693541128804 37.72813596783916 18.397304989268783,29.8907312263494 92.39845800776507 31.244640348529014,-23.764615945618974 3.9047119574562656 -18.35997918606178,25.12142108534786 -57.02112902981629 31.91242136268697,20.192307559495436 -39.447137823785894 -7.320195418364378
-11.496826876756538 100.61277255070063 -7.129336378236835,1.866653064469536 84.04074599932379 -17.201285033033493,12.111733701275941 -15.604708614869896 -2.4600811000942775,-42.29601983981048 1.2867172992364515 16.457028853894528,-26.721285996125218 -3.730270524003866 4.529383590734596,72.92779382268449 42.31433060533661 23.670984770606818,30.218824797849642 89.62163412959028 29.865364512569283,-25.886123724619594 3.640496540752275 -18.360694013192855,24.325039500947756 -60.58344087287353 28.13660751525718,19.86632534623419 -38.67601713648323 -7.069709007267926
-10.265465642251819 96.09122159675103 -4.908534495906109,0.7536098990647625 77.50139608535204 -17.779737762847954,15.16908806801542 -14.842797053655953 1.5040716717393776,-46.37432022195563 11.519241473270975 8.217829704269748,-29.488978724858868 -3.1547360930029287 6.298748790700755,75.19273109236272 44.19143348266138 22.90208108397576,30.23729759704132 89.89011917778772 29.99321121740568,-28.768507924589095 3.7666829211190107 -18.767495967450255,22.23809659970173 -63.17783247803228 25.505314209787787,18.035946967842726 -34.401059457086276 -5.722334454696684
-7.839901696732103 90.75206057221624 -2.1849258644559373,-0.7648860675708196 69.35517349843032 -18.01939109644124,19.89489406599344 -14.351400045094422 5.908630935881296,-52.06986904350518 26.913461476489147 -4.631061199919663,-31.296262996327705 -2.456026244530356 7.623629861973566,76.28303538507723 48.89645445965169 23.162976140879856,30.06606108183856 89.46274411651741 29.778075734066288,-30.67717663053879 4.096187153167733 -19.091281818175965,19.81343802616229 -64.24939767932119 25.201730750160344,15.707606151130266 -29.061385472921078 -4.096057750374596
-5.322279354300227 87.27166961569235 -0.12680493028486794,-2.8832241883955354 62.50919896652797 -17.112445121370982,24.05588249920968 -14.387534016648184 8.551813291524056,-56.23942537768818 40.11551349991469 -16.061489876034003,-30.66345168495207 -2.049590723775465 7.735597558995383,75.09335094837957 61.351682571519284 30.83621095582164,29.82054420585973 85.12670550204191 27.63086296024909,-30.083926133426466 4.457132793981112 -18.908812462015685,17.950288389777743 -63.348853707380705 28.20782022168948,13.82081143274987 -24.926888427243984 -2.9476085727879897
-3.210635068981257 85.9570747663944 1.0498059397850412,-5.317671829266689 57.53028355074491 -15.283076713159721,26.99345215609255 -15.000756247067693 9.18922856360395,-58.307777634274686 49.221497220594514 -24.24058764071426,-28.146492658141604 -1.9151128965214193 6.660876079060178,72.36337246493171 80.25703397709265 45.290524923395886,29.569557506237796 78.92564394920079 24.560376637981932,-27.52656453036042 4.836052718402939 -18.458970655674495,16.995829886353757 -61.05055987963364 33.53140784267851,12.615052903964527 -22.50452987966658 -2.3998656525159854
-1.6635100387008572 85.78377746351609 1.664040225920023,-7.515802374081407 53.67003604084575 -13.335410877575889,28.933930404838343 -16.12403656197328 8.676498277576709,-59.14288991217036 55.39027125597726 -29.693143360208865,-25.445315626517054 -1.7873850613220954 4.872267278717292,69.8696721543039 100.81558890106257 61.953056054504614,29.35571300111672 75.857205375148 23.035382201171576,-24.703952858802115 5.308502334264611 -18.35273699683078,16.987009084943395 -58.5041397260257 39.07089701286569,11.936425772280101 -21.310542774966986 -2.219497506516319
-0.8035761603356861 85.77166893093711 2.027428321390535,-8.958653060098081 50.23278128136061 -12.029324052960336,30.120281509605363 -17.661924074353653 7.847423083264559,-59.591311848706 59.79011902171872 -33.01131163036775,-24.13234012739256 -1.4262526666769317 2.8497885566715393,69.27209865802989 118.39428055992013 76.39329293329426,29.21641715169224 80.43547314255606 25.286004718058955,-23.192485322844544 5.934120206278893 -19.128726846116713,17.90392118091158 -56.76923804266621 42.87226102908157,11.63141739217934 -20.867930858016727 -2.180947973461166
-0.38041794832886777 85.6288240651902 2.293924591534426,-9.551017786155073 47.30571037005303 -11.535321757352783,30.874461493128774 -19.20365067053374 7.139915760562571,-60.06406220310228 63.30290400596944 -35.265552799364514,-24.149774855832025 -0.9144659235828272 1.0996000943740614,70.73953142980982 130.7169380939079 86.34515804670329,29.13194901848628 91.17119343762185 30.579416986340945,-22.99476699395999 6.57600190067911 -20.436201262589343,19.10587442384762 -55.7851211032121 44.840410063945434,11.601935736090361 -20.906499437310277 -2.1951033211774575
0.09708161993038245 85.50730722903587 2.5158214481846533,-9.4710818456585 45.481089406772725 -11.643670205372876,31.56938880303212 -20.135017768023147 6.7364775603805835,-60.691172071283155 66.62570264687672 -37.83491157171071,-24.388079576415358 -0.5431006962608514 0.14472838472524574,73.47893431829 137.02796865859221 90.93898285121367,29.045731274489306 102.70199168752578 36.27120969368604,-23.098055116123522 6.970441049195749 -21.350644336547596,19.55166935638882 -54.76823032812524 46.079568403488764,11.785644013825406 -21.28947418496981 -2.2608771911403553
1.0872283659704989 85.53086297578189 2.7294673754814642,-8.911460411447067 45.26602061605455 -12.138112398745344,32.55613529698544 -19.87571340003196 6.817577891394293,-61.57048328704998 70.4198816182042 -41.99465362883363,-23.792152530323833 -0.5869803198838196 0.47525137950858326,76.69180043474128 136.80371623946826 89.51127601919451,28.9075743858758 109.88688855798607 39.82614067675141,-22.538074999572867 6.869915633317847 -20.997046961339976,18.279144036478144 -52.9710438323409 47.642535756286854,12.12253266180294 -21.88909675510872 -2.3787693493420488
2.5295712170751368 85.3200215633293 2.7704645894589413,-8.203863418463284 45.849236172016944 -12.799772524706102,33.866034578400935 -18.370581638651196 7.595031952529304,-62.41233427124712 74.88712000132207 -47.48556208143413,-22.320763994517918 -1.04304979439631 2.113111407816766,79.72840777122441 132.43099656786706 83.97527400929032,28.76593316313824 111.61329831397741 40.69573862176908,-21.271766589861112 6.284679846841737 -19.33256824318791,15.533646872457105 -50.32343869890371 49.57605124069597,12.576982565770617 -22.673298111844392 -2.550956043622214
3.980183187577348 84.12332674977213 2.3260194789583215,-7.782822550095115 45.444901617859045 -13.407838888215421,35.29406306620413 -15.952672850067676 9.303826404462573,-62.64061284193402 79.88928622424675 -52.91409852806673,-20.68215959529595 -1.7028406602340995 4.734195185240856,82.04901920602967 128.4481067765888 78.14898418773167,28.74218237294592 109.74650776605046 39.80019465361458,-19.937050899434652 5.415541434655174 -16.929523383008288,12.453143101770848 -47.25603945269362 51.183153009170795,13.131404540191372 -23.68074475249 -2.780852812158922
5.004331940925926 81.24152122480737 1.1035405165353338,-8.05868293272388 42.35980360861964 -13.751889983122807,36.632911227820856 -12.968713891468967 12.143981343422997,-61.7167487349163 85.25609941011233 -56.913626042937146,-19.569005066106254 -2.360996380342467 7.992295282514607,83.14141748036856 129.13243021733476 75.63451079875301,28.948392346419027 106.20698203864639 38.08637106720972,-19.156190370197912 4.466505124440691 -14.355897578126365,10.144244236438562 -44.18906031003743 51.792977298860954,13.767360262343507 -24.945331716439114 -3.0707457206054554
5.482183963337183 77.0302776224167 -0.7794856566810948,-8.98121471038011 36.9002659220672 -13.802214744043006,37.73163658411088 -9.844666779852234 15.700602038423547,-59.868565006763504 90.39850713873504 -59.04384742312681,-19.09991313956091 -2.9494392119791866 11.299090876729608,82.92529072347018 133.36974287542253 75.52194551225287,29.305907784969722 102.66178945248834 36.36676561861485,-19.003838168551344 3.6195793096072575 -11.854963500739178,8.808246711818514 -41.159157421896126 51.488510301277955,14.444387603095727 -26.38961175416228 -3.402858908706882
5.560260458467915 72.73757285628615 -2.8587109735369776,-10.110614264302882 31.063905242864706 -13.681954624903305,38.486974289208106 -7.07351397521562 19.038672839594476,-57.972132537286534 94.37324234056528 -59.648002707844775,-18.907938287082686 -3.5162076117206738 13.86147141605677,81.68565087420973 135.4853716242887 73.08492929259013,29.574749601108593 100.56366461481826 35.34022486485462,-19.091456418887997 3.038166955481615 -9.395338261870762,7.880693254444803 -37.87855733601824 50.990376322366,15.103395768142283 -27.84195960795403 -3.742447292380692
5.391940188297439 69.61523145319323 -4.660541632745921,-11.003510226156914 26.85846898157898 -13.516770732728812,38.801462802425206 -5.143984464907347 21.228669366606425,-56.89658033681052 96.25809757593478 -59.09645355503411,-18.627039757894885 -4.105810362444107 14.910265639258341,79.73289710141364 129.97200576739812 63.783785477396336,29.521339337237947 101.27838948235524 35.6636597106508,-19.031333592911782 2.8773638984868506 -6.960105273868612,6.803609718121294 -34.09702547375328 51.01007616237136,15.682305318554755 -29.123711583642645 -4.052896719109445
5.097381542187287 68.38929012034664 -5.747808567704009,-11.40517101824765 25.35661842262458 -13.382578865964911,38.67086254363266 -4.406869630550475 21.815161828030092,-56.91803284396472 95.82909938733088 -57.81243186720241,-18.242275348958433 -4.606987487690595 14.334933195017545,77.67822414931081 118.06288741430181 49.73017271933111,29.160950884868395 104.43360085273775 37.16272537361649,-18.76988686959878 3.124932658866038 -5.033373977400694,5.6823055789477985 -30.599371383879426 51.62606804331785,16.066983548920902 -29.967959531134454 -4.2686707468664915
4.764615263134322 69.27729261924628 -5.718569318331875,-11.243299876413177 26.726686752499354 -13.30718579969538,38.181089519355005 -5.079560465153708 20.80122050619603,-57.73911577744304 93.53754110959687 -56.270300716881344,-18.078252630219765 -4.757833993493733 12.661900126170906,76.42372819137569 107.51009274507443 39.468300904379326,28.74952492035237 107.97596361989046 38.859164091179,-18.576671553768293 3.6068065784507954 -4.583799463557833,5.263556376688709 -29.171402770145928 52.304590441204425,16.092956688815196 -30.02245349197854 -4.296261992416926
4.480058979809194 72.44206782053699 -4.199426175779834,-10.462667590927087 31.05564784498282 -13.315331405792758,37.42541807185117 -7.347476474657394 18.22974032821587,-59.03917052672587 89.87923174785139 -54.9429797247987,-18.458228672724264 -4.303092274099799 10.443670652177847,76.84934530329161 106.0697370225979 41.48519742442072,28.54546909053185 109.84218462606378 39.76967713904629,-18.723090567761147 4.14405247997147 -6.5496370093709935,6.285377320717928 -31.559462403105154 52.50387194515365,15.603122412917962 -28.952038533392194 -4.046237050107134
4.321834681415998 77.1051646406651 -1.5692363097138198,-9.274623351462214 37.199096414767006 -13.401254815882433,36.598993325223795 -10.660134968924783 14.728381738690919,-60.502405677398905 85.8188399164435 -54.20527485977691,-19.28247404850283 -3.3430335975070595 8.233366707621478,78.8896946854261 114.20895599420767 55.377688183153474,28.60242264765021 109.60106065986291 39.68376905882053,-19.16495564523295 4.606399634373064 -10.475283019476452,8.514362828863158 -37.278086787068084 52.15490629877491,14.702124269787198 -26.992917662241165 -3.5739907373220214
4.358892797795321 81.44746418349504 0.961459151100789,-8.185242224458342 42.651229167130815 -13.525473909486657,36.00958751651297 -13.653448628027796 11.571314915320293,-61.818410928606696 82.83939978267935 -54.32351881543751,-19.983610536347282 -2.3709976846291987 6.584793165506956,81.43426455406109 124.33627719555633 70.91369909033725,28.747635366152714 108.62580755316858 39.245346401502644,-19.509164691881736 4.917377930910262 -14.364100269447706,10.643116158590491 -43.374354222401216 51.711370722564624,13.783988902569849 -25.01298036145273 -3.095038215449691
4.655986242705127 83.63514703608949 2.1652829873609925,-7.7038567988413025 44.895261966507206 -13.647864165583094,35.961447470881104 -14.95060325508053 10.0390419230487,-62.68327936430705 82.40893625175596 -55.54280650863789,-19.986106437024578 -1.8904776310359472 6.039327680697031,83.33533277945226 128.6219042684923 77.59112887275025,28.800551155175622 108.35100351235144 39.12745422196354,-19.35694279009902 5.005002696280893 -16.182422437998714,11.339060379444385 -46.82691107560392 51.64102454328415,13.250684084474893 -23.89692013295189 -2.8291702267514247
5.141539934470905 83.2681773643075 1.7744078188317727,-7.900571156640237 43.592199126051405 -13.768679963736151,36.416291178091456 -14.250548425763405 10.418774001165453,-63.02105345371327 84.46353156781389 -57.53608938880821,-19.302068774571328 -2.0318940539773505 6.681982702173913,84.06313356354428 125.7802147211766 73.64587274578903,28.723787376031797 109.03881479627424 39.451037071827045,-18.76298585680404 4.859587056997979 -15.460928764291925,10.382797005476583 -46.784417564535396 51.93679562358239,13.2465823735853 -23.947708129058284 -2.8493111641140225
5.571595330985702 81.7595040701222 0.7343338814524523,-8.29009553213335 41.156805899139144 -13.939233828900809,36.90271718126182 -12.612511046429331 11.741730109464674,-63.04401216294554 87.00216344808263 -59.252857297467216,-18.686659558025394 -2.4539264246473524 8.020707888837196,83.86929197752174 122.80053599533149 68.36281162420008,28.66100076532873 109.468921048174 39.63892173934568,-18.3553927362685 4.55021820410472 -13.708375698753276,8.9625148312105 -45.13946405652289 51.99119889810883,13.590333394602801 -24.732741628818257 -3.0426764657379515
5.693110346924702 80.62334425113123 0.057340708925525945,-8.359267670179303 40.14801952524264 -14.211513141147359,36.92729123093035 -11.175355395458793 12.966128338710519,-62.98000280464597 87.92162897731428 -59.60617658647399,-18.931302558502043 -2.7880274443027653 9.525135177899081,83.05323284313467 127.08090236192622 71.58512528005024,28.764852739626882 108.34901540315307 39.08016687279301,-18.7884734046006 4.152492056211337 -12.544962409686537,8.34414205324919 -43.94196564419109 51.16916958007703,14.079449126161565 -25.772709044552272 -3.2848813636012184
5.352304400573179 80.61818596013084 0.20000005394735312,-7.984753784646764 41.492163396417446 -14.506810480459212,36.285675163298606 -10.694664933754686 13.430776213904101,-62.910001221451374 86.22875789955324 -58.011053085350774,-20.25418590302561 -2.818235367645618 10.59965498816782,81.79739856864582 139.88090529342554 85.59195813614937,29.05687348683601 105.54856868717276 37.717508625729074,-20.185156325741993 3.815138405285743 -12.814231099391778,9.162416799248623 -44.30191479686443 49.38532473364207,14.499280438724304 -26.612391431145763 -3.467287521506491
4.539101188116781 81.4084224324737 0.8143664849212352,-7.607588113327658 43.751969930370386 -14.55720708920408,35.19206511762775 -11.371134357638823 13.025473616946138,-62.70235239938612 82.53741225180613 -54.60916759391459,-22.043604846712984 -2.5494917802603836 10.55420535811907,80.1148721163515 153.57330241725464 101.71174161636431,29.36875002467323 102.6189970733194 36.29526103632277,-21.899070751772292 3.792765456161784 -14.23533108454203,11.138281719494163 -45.96854581528147 47.35007466194497,14.617572150007339 -26.83144958715714 -3.504053251831882
3.2578293430428342 82.57408120970771 1.491870145965995,-7.707724448083429 45.31793783615198 -14.084113023489724,33.89404646799815 -13.355209866557507 11.687302971018186,-62.211649648160915 77.59179334684671 -49.609320819305125,-23.62589557129739 -2.0052915361952506 8.70314116555913,78.01027585657961 159.9034425266796 110.48995416859674,29.518748211645697 101.23010881156188 35.614155443621776,-23.22761517195492 4.3441921448274075 -16.43724580938433,13.917517638537426 -48.58096769646311 45.83197550187758,14.20426837726965 -26.018896365132836 -3.312536487013384
1.7426128764772748 83.78708428047628 1.9942533765787924,-8.383073751746704 45.50840825249978 -13.109992186404872,32.685260585296845 -16.301038963229296 9.656015636104305,-61.50275936446661 72.46835044679756 -43.965956787022094,-24.545103187428772 -1.3011359168376495 5.220113084620755,75.83708572242443 155.5729659072617 107.8637906541332,29.42968250866271 102.08798849970832 36.01521619628055,-23.757643149954855 5.43166146876062 -18.891345570607744,16.880729049419358 -51.51440461215991 45.29859745078239,13.289612259464505 -24.24561422369905 -2.913091705519537
0.609104221255782 84.87192564650888 2.366027228875468,-9.097242680933382 45.18221569722376 -12.157147077743666,31.935815442796354 -19.038766246550498 7.673883096594338,-60.98966357920721 68.795162864107 -39.87150838611731,-24.706734141033813 -0.7052841370487634 1.7054574448367195,74.52797793628906 145.5124254102546 98.72229289760477,29.19794903731068 104.29865389457328 37.076217814797836,-23.556589446618293 6.525012483726002 -20.807316134749076,18.96824915567232 -53.70595372768238 45.71778485575593,12.336020445474446 -22.382531959083423 -2.4970781730045775
0.5049328349937179 85.6663620438197 2.6772123440246056,-9.257663319166275 45.336085798305945 -11.791955477266686,32.02065385092418 -20.326240218392446 6.528137220525113,-61.11553495459064 68.2431952371702 -39.62082536778751,-24.051997116670904 -0.4989756054270638 -0.11337522449941834,75.06307411447567 135.41191421782491 88.78130095822213,28.936189801148654 106.81825175395262 38.30337533410536,-22.738016454275154 7.0502727885254375 -21.374289129187915,19.08586089765547 -54.05735738349192 47.008496688637486,11.844398145748501 -21.37189920688158 -2.271079725718963
1.6237221178388725 85.88060322256761 2.8670382232350566,-8.684297158736136 46.131197536890966 -12.23402354622229,33.04483616553261 -19.53430690346885 6.73109623251418,-61.900179579575834 71.44644641420278 -43.88300202057317,-22.70648492008263 -0.8018001152340377 0.6502092527836527,77.60835592714501 129.10787354978336 81.8003915740381,28.74340846483065 108.71531615348142 39.24863358214661,-21.508310016375827 6.730560818736594 -20.249447483811437,16.93035035848616 -52.14694695700078 48.88859291638214,12.059000633615444 -21.68883102369295 -2.3395826240817583
