2.5 97.3 1.3,-4.2 65.9 -15.6,31.7 -31.0 -6.7,-70.3 53.9 -27.4,-19.3 -1.1 -16.0,24.3 54.6 5.2,20.7 139.3 52.3,-15.7 8.7 -26.0,17.8 -25.3 65.9,22.1 -44.7 -9.2
2.59870092240616 95.76296980308929 2.624588751196846,-2.313241352217744 67.37661532208475 -16.505388330793167,32.492670609034185 -26.94482269460007 -2.4621260194408388,-67.70240072863733 59.364058536595486 -35.1339697332261,-18.047171734628666 -2.21135835106672 -11.620529120120061,31.180189836516973 45.31837074457404 -6.581491063909074,18.59331860473678 144.30895844987035 53.975089719995104,-15.093790577212767 7.439984881319757 -22.39969025004585,14.970786166829782 -30.680907950318108 59.60206646463995,15.230480874280635 -27.910763274633396 -3.6353114109885802
2.4325434583908754 94.32513151637428 2.8115304785137374,-2.917524965057477 65.95372027459281 -16.30024049156266,32.89419057447307 -26.22197087693224 -0.9855857494099415,-65.97214061591427 62.565726186483005 -37.86215070849709,-18.156304451235044 -2.080669980328503 -10.3160542223072,30.28138702121744 47.677267031663966 -5.974507865418927,20.28999483685227 140.079638276011 52.55333243561429,-15.438199630353846 7.245062744931931 -22.511721341555358,14.979531495157064 -31.48771101044594 58.6772338863886,15.084401543190957 -27.68588489368565 -3.6465913856782186
2.5253063347804 92.67100457342447 2.670671892322768,-3.7693846477526605 63.57888223851161 -16.087487560715374,33.56603465706552 -26.119656100894197 -0.0630390511679319,-64.74851119922731 66.8696352805139 -40.947923071409605,-18.418493856981573 -1.7747557492727501 -9.803973334274264,28.388420516656172 50.86458102467686 -4.466237696590119,22.251085096798953 134.76923929587917 50.63866480054326,-15.820853447121824 7.316360169855211 -23.046756910745295,15.102631007225316 -31.68734243218578 58.64169964772687,15.322037720848531 -28.35696413960114 -3.9201613121309284
3.0929663577315076 91.08163936421323 2.0592875801837844,-4.650236324669986 60.366631432555494 -15.996663121380218,34.57299624946821 -26.707284558393567 -0.06880276889657401,-64.72608075464608 71.88744597507129 -44.126568959505484,-18.589274024380497 -1.4668610535799673 -10.430154756946388,24.847434422366643 54.321556499891976 -2.6790995636201784,24.065398425824057 129.29387332389643 48.50823831288106,-15.926792007282863 7.650443018585849 -23.63965851257264,14.994028014391251 -31.169820029621302 59.73683771045682,15.590576213026964 -28.99408328456292 -4.108532211858311
3.775806139724155 89.90499793571837 1.3456980484641128,-5.335559015473366 57.45842294308535 -15.990784156856972,35.51477507021557 -27.499400287110188 -0.5529835061049532,-65.34652117682143 76.05896610766554 -46.58290861657259,-18.6430766188933 -1.2500514690052162 -11.497555022852891,21.241912768972455 57.105724935157575 -1.2225293083403495,25.293047235088945 125.24071976904303 46.844553767259,-15.83372474254268 8.031011053234097 -24.082231681376573,14.735917618108514 -30.385469408918315 61.16017472379079,15.79729050586591 -29.418731293271556 -4.188168582432193
4.099936754525415 89.50231024125263 0.9995741086215149,-5.599655594344547 56.199368723478045 -15.999843768213172,35.89883432493238 -27.900507882270688 -0.9022300097553189,-65.80302857092748 77.59160773036854 -47.39259841481993,-18.59774624154681 -1.2014903283498088 -12.102300565529893,19.599047483916028 58.198524126788264 -0.7033840776183504,25.488456761907266 124.33003339405366 46.410496912850995,-15.697236516679082 8.19954900137589 -24.197409100921735,14.495427389773273 -29.895736337097564 61.90222228641731,15.90103568378262 -29.601419321665166 -4.199782582307595
3.7600334631921184 90.08735463489866 1.3279748414994537,-5.299207280391468 57.46532336938282 -15.98026647816862,35.41722819390666 -27.521800076096863 -0.7014426707600617,-65.54875941694084 75.4003047443369 -46.02306615080864,-18.484840137074467 -1.35784107484492 -11.640800741965664,21.23727871383479 56.953076104421925 -1.4842213201985897,24.466289324928685 127.40621957480968 47.60556169907849,-15.642259722442782 7.993212925100611 -23.89373965558166,14.421449908200414 -30.10119013423145 61.29151060581439,15.865676926984394 -29.509629365222036 -4.171325680430748
3.075143327770297 91.3277399548393 2.0356357814154857,-4.596029594444533 60.39398424220639 -15.986380371315093,34.44574683450401 -26.740054784791003 -0.2698577907160835,-64.99977892421312 71.02069416836423 -43.39288433773148,-18.386708000166415 -1.6057531457970713 -10.621730763103775,24.849787747297682 54.09924346098351 -3.022697835696649,23.005140909677433 132.06948533250366 49.48321718048936,-15.680188172132254 7.603531214295403 -23.39689974197026,14.59533425235433 -30.806504168037876 59.90861097203556,15.673637109230505 -29.099623228452224 -4.083482990903666
2.508845163618121 92.76464582254135 2.6878645159050523,-3.722571605411992 63.72069402910658 -16.09517658882451,33.51845398309056 -26.109270242281454 -0.09669829861625717,-64.79504975953333 66.59506248219436 -40.756541508486336,-18.397457138261547 -1.7971502153323908 -9.811237003330298,28.52205183330346 50.68558147723639 -4.567000878203044,22.106742215207774 135.1690593841308 50.785349893411336,-15.796133373055046 7.304063596234468 -23.005975534809632,15.082794297234779 -31.678411741278303 58.62392149402139,15.311634903645665 -28.325065427085967 -3.9059982478245145
2.413002227841449 93.97675108193822 2.946579519708717,-2.9166777959367263 66.30682012025798 -16.341602406885695,33.06485024678336 -26.072875852309277 -0.5351552719344835,-65.37469279023739 63.91961754875835 -39.15941975980844,-18.5652058795281 -1.8210817760416091 -9.81402776318867,30.623668216400883 47.74109156329266 -5.476837349433371,22.44053105278709 134.54552897503012 50.63716809692054,-15.95292829265797 7.301547630560657 -22.96007098471328,15.869865055722276 -32.39443523023928 58.15070164107602,14.81227616238067 -27.241752648541915 -3.6386865981350263
2.656870719193609 94.7047298238935 2.891054708548546,-2.4395006354076223 67.5581519375928 -16.578977168043302,33.06272740173164 -26.596647782871358 -1.3507672468974523,-66.3198397024508 63.29552047266968 -38.743569158250516,-18.739401871437174 -1.7269794760399804 -10.537404866074947,30.75162195906306 46.21030313501313 -5.593674882829553,23.24045231223913 132.32211333682267 49.81981564144931,-16.017163434448303 7.514051597025897 -23.239169064130493,16.598371818597514 -32.67870540772536 58.52337780128522,14.40639764501153 -26.34668876492086 -3.4112705742832587
2.9794154516430487 94.73299065306587 2.7132391391580426,-2.55848514492229 67.02745872689258 -16.61158538499326,33.367927559056405 -27.51740822075979 -2.150421819911735,-66.97971738936631 64.62030852194823 -39.4071635586604,-18.715856832071367 -1.6075739844090247 -11.700388480376503,28.83426099071199 47.01494036138942 -4.889044010386802,23.352905037659173 131.77823122693295 49.56149602477299,-15.829446333626546 7.781710559174632 -23.753296804155134,16.817212182003026 -32.267936104372225 59.59310904275044,14.37835331312898 -26.255992141314003 -3.388544332429488
3.1662449526108944 93.98371650558023 2.577784036783153,-3.4045271919096183 64.59352955377852 -16.31206277801585,33.82477731365269 -28.639861984070272 -2.6210215721746764,-66.8857523150161 67.53354891057528 -40.91190718108571,-18.35373742049348 -1.5446829403316304 -13.011596700003276,25.089563346325086 50.58154928305665 -3.459995407435366,21.92238717721528 135.37052720075854 50.788099955954294,-15.29250990803368 7.966513662979938 -24.385179216455338,16.212832561568003 -31.04034321571125 61.13913820278985,14.9136895593675 -27.373526588045095 -3.6783227846057773
3.238167063391162 93.0737788567093 2.5116893845552526,-4.420007810094224 61.779013830565525 -15.897692490847339,34.21954881045267 -29.606780397565558 -2.8529367716139062,-66.48808415776104 70.37409234338614 -42.33141007631498,-17.831665679588973 -1.5650943969773876 -14.127212641702029,21.19586701165328 54.839868112261215 -2.0364728632679605,19.59651503278917 141.40692530569595 52.90114766093232,-14.622340545710191 8.040649840722999 -24.879883343477108,15.165241592951746 -29.587629777472603 62.57810327663319,15.699736552613514 -29.032906984289713 -4.101114749637999
3.289953371405689 92.83850971165415 2.4986676178731457,-4.830788964642275 60.6235100513933 -15.69413984790453,34.320257658993334 -30.01001113494307 -3.0634172295566917,-66.52576275403166 71.07174978746102 -42.522895514031504,-17.428723626038117 -1.6782911090335693 -14.686930057198644,19.29075320269191 56.93445734406998 -1.547447727404224,17.495594483810518 146.89069055184999 54.82278657513102,-14.133434276421198 8.010962840992159 -24.939186564442693,14.27255424520992 -28.725871000773196 63.21261296221624,16.26714909700312 -30.23118421618478 -4.387079144437073
3.3742266201740265 93.89509323974872 2.5172171020296106,-4.071686521447095 62.62402369750122 -15.941186253907263,33.94330093780889 -29.565826946759866 -3.4211782146839487,-67.5252956623805 68.06458399117913 -40.593950728731045,-17.385756230430705 -1.8736118899667162 -14.436799305241362,21.08586794259351 54.656621409558284 -2.6546961972767353,16.56135583233925 149.30572562801515 55.65004756190637,-14.091542977102588 7.898177467428311 -24.36948964563331,14.048402746986893 -29.040906684095344 62.557841724355384,16.26701782464552 -30.227192803972677 -4.341179304599934
3.294871475225333 95.57368511390142 2.5151786462034362,-2.810318107510182 66.07642712602733 -16.371867044892866,33.19045170187162 -28.724425001603212 -3.808422442490719,-68.7590698928804 62.789026201566955 -37.129186247506944,-17.717883745144164 -2.0216310074057513 -13.750159642568999,25.779854631097265 49.61362027323067 -4.443744191399369,16.68133676821694 148.97337132811793 55.51239349894611,-14.474730829345962 7.804809452909019 -23.59431802261992,14.50770074186967 -29.760247180457633 61.38284668821663,16.061058238510732 -29.824398377060252 -4.209742868558294
2.7649009691081456 96.73425010537983 2.4291929159935477,-2.164681565352724 68.10712078725264 -16.534087708104636,32.26773958480828 -28.204127521086328 -4.002680823544574,-69.04130383455663 57.77690344884179 -33.2528144132787,-18.357762274268882 -1.9495344053756722 -13.229518159697738,31.653279894498358 44.80679925035762 -5.424265157330549,17.357946154519627 147.25157143095097 54.916466278272125,-15.155960894417634 7.8632552601252685 -23.262651660911395,15.48316471011558 -29.615163522256076 60.914766692198704,16.270598856887855 -30.390567585335212 -4.4003413633433945
1.5895262406231108 96.44120048455794 2.2148922079597786,-3.039210501642246 66.38352318291865 -16.06428764571117,31.379739873700665 -28.60344087411267 -3.8365824912487563,-67.44976129057343 55.231610264620755 -30.013580942063406,-19.219951316279335 -1.5242634156743524 -13.385053161986864,37.07510818317397 42.839372582430826 -4.359868333763639,18.12584961373264 145.39882657820436 54.326625474526715,-15.998744005238027 8.175469136274522 -23.90791969465081,16.788463916314683 -27.60236856256934 62.146817247033944,17.406598055692402 -33.05608823913131 -5.25123772686171
0.2131354584127943 95.17905658450375 1.9594942903715484,-4.855321579608358 62.33024183658148 -15.213680797295952,30.719894710252053 -29.688697206563344 -3.525247826337261,-64.89130114184 55.071748925325835 -27.932294236265406,-20.09457786468514 -0.8884124519681236 -14.085448145308982,41.03562581903129 43.544216424879224 -1.7779372056331013,18.746948007897085 143.97464238100247 53.91067395989418,-16.8022311663984 8.632361421955835 -25.26133799119821,18.10727354558674 -24.561187268210613 64.4481808454285,19.213315622147977 -37.302308708747766 -6.619253228634195
-0.6494800397084792 94.03311395827956 1.8058840266941538,-6.407042706754934 58.96135912968914 -14.493560822898308,30.476936370740848 -30.874178235874087 -3.4456097288147727,-63.04657901515438 56.249342750596824 -27.30641937388932,-20.719127872846475 -0.3011906738374851 -14.92800290212777,42.78796868723363 45.582218324070254 1.0479819051970316,19.079273827780682 143.2428153391031 53.71095660597383,-17.33834602491131 9.035560555393376 -26.71474694044469,19.068274924666028 -22.110459719718705 66.50099452255299,21.110660313164882 -41.91295296645922 -8.15753574751728
-0.4056961359593915 93.9443286710467 1.8733161410653685,-6.651289452593032 58.87244995308715 -14.345903629268726,30.78920939418086 -31.6304745386531 -3.9049537551049722,-63.33728972350125 57.760963902157215 -28.308453838964024,-20.874776977227867 0.00866312498276987 -15.54272669206913,41.818634800517536 47.67545664917345 2.9562721189539563,19.011828271897663 143.40268884937834 53.75505728679294,-17.420635699326663 9.211637604065515 -27.71568116967997,19.36065223067355 -21.641423779933756 67.15547098728267,22.5609091540257 -45.73771133125247 -9.529682771796685
0.5314782741409363 94.65729898664902 2.0864330339514474,-5.893595000453001 61.19474022959879 -14.638975056104737,31.383679154824858 -31.89832783329732 -4.637032144309195,-65.047607245895 58.99523029981707 -30.096804380902565,-20.701051098547506 0.06466572465627485 -15.83468894309639,39.512317837204726 49.07996668830459 3.7212255167308697,18.683727800684917 144.13584984939396 53.95366904831134,-17.203380992864567 9.193476312744881 -28.17643683800611,19.169321743195272 -22.6637352075651 66.65455249006284,23.38182893479633 -48.18538559953449 -10.490579171161192
1.2579770577717053 95.3324337589079 2.2748466237809177,-5.098031415006225 63.36779141719212 -14.960894531030014,31.78643186578116 -31.8480577436101 -5.09553703151484,-66.41794003106062 59.53219839445654 -31.33469055067936,-20.51246096634006 0.013511966900105924 -15.843272778695113,38.18061294670249 49.31251841707281 3.5741447019588657,18.356221807669566 144.8710613805835 54.160406373695594,-17.007245215720197 9.114704268135002 -28.23625622781013,18.9212689991492 -23.768260801939885 65.92126030812749,23.564774443823065 -48.9377953921217 -10.839686046110804
0.9809445332578669 95.22285876284583 2.284088591010839,-5.128810344297569 63.10744953582861 -14.943092395982276,31.58547677909123 -31.645158926300734 -4.808999195336242,-65.90377032563033 59.027331742500095 -30.852905369730163,-20.58523320406416 -0.012423131525235012 -15.618637075109588,39.78002093605404 48.030488147350695 2.776697708570962,18.27140680744589 145.077318065542 54.23730677064326,-17.111842925552843 9.096098294942122 -28.03139091798031,18.9931668895021 -23.69503752905941 65.7932194487977,23.128705640875335 -47.77968647301323 -10.422177891476359
0.01862259477679437 94.51950952358352 2.120368694157897,-5.8381519250721245 60.920885888893665 -14.655555064720726,30.982728149460844 -31.39324102699029 -4.050348376971855,-64.11555086161769 57.855040216457205 -29.140384863498873,-20.812709963101984 -0.02777042804701317 -15.306654117922058,42.761416889708265 46.23814097019399 1.8551100357268702,18.477556923792577 144.6305036791328 54.13186781599319,-17.387649528067804 9.127154075937918 -27.65417440564261,19.257709711450275 -22.691537515260077 66.23496448290335,22.34897757685398 -45.47635341659302 -9.523764330900187
-0.6863346003975525 93.94034990393169 1.880194217835218,-6.509559447293603 58.883934852342435 -14.414727763670678,30.525101265142116 -31.16113568380061 -3.510850070461005,-62.87478012158708 56.79376561729081 -27.61790475195502,-20.873060789918096 -0.1297748300058349 -15.106985011835851,43.60559177116233 45.69666368095062 1.4842826267340554,18.91402238368736 143.63516470048455 53.83961375529147,-17.475213274645515 9.123590195717645 -27.172259197324124,19.304366939161298 -21.852378106517573 66.72037246641189,21.645033673096087 -43.344137541541464 -8.67772598694766
-0.2780329001861886 94.15453554623915 1.65587565798398,-6.475761845127646 58.932610832108466 -14.512708408830102,30.704022872878515 -31.01275993289546 -3.825101554997066,-63.8404132365625 56.51637910903019 -27.55457457429142,-20.481495740255404 -0.4027764340745631 -15.199742214359045,39.19755762788447 47.94502068361871 2.2560132035132456,19.512930424795 142.21588742533493 53.365867196178876,-17.055772663181564 9.010513011573968 -26.65655239898565,18.776446077891965 -22.181102905919655 66.76263261458183,21.403163971448105 -42.59797688489555 -8.376898121804173
1.0101067084251107 95.1956871905139 1.4792613015232654,-5.715265401192284 61.17470909326184 -14.926692844750136,31.321260341761267 -30.959395001082456 -4.914845605189507,-66.6252631254051 56.41625603161797 -28.335907236900685,-19.81164039330655 -0.7704157665888645 -15.530830818679616,31.37610820767939 51.8409788972266 3.776802334721813,20.13652377274214 140.70065728341237 52.82364735171101,-16.313317521771886 8.83170035782879 -26.218986833052824,17.97973979875458 -23.512996098070822 66.39537496086646,21.605621333951923 -43.20275166235933 -8.61193030127389
2.241879277763619 96.68740305912483 1.343191558583711,-4.6232069454941955 64.5385286809608 -15.430714289242044,31.73363950691247 -30.978363528487836 -6.241918863658182,-69.52205095719366 55.06129054816673 -28.13219201211083,-19.33287227887691 -1.0526562117313758 -15.895054392617753,25.17602545211738 54.51250041178998 5.01747500626657,20.60195837119536 139.54868495218196 52.395455115856265,-15.756193375415881 8.707492312048698 -25.997963526122177,17.647450557284394 -24.929626113715457 65.9879978085223,21.973989474388446 -44.316853172647996 -9.049481319302116
2.5345394546535505 98.24600036076292 1.2425079862209423,-3.5910326216909723 67.95096584270499 -15.805414612103377,31.34630584095189 -31.047457339098298 -7.282041352464268,-70.90445164105593 51.1862730614191 -25.284762376224045,-19.481816113422145 -1.0803521110989664 -16.096750541997963,25.304831073546502 53.29821995853769 5.01711142159723,20.736625324610703 139.19405073399946 52.25404530965371,-15.858378639593061 8.749856452191631 -26.12079132543473,18.450441580753186 -25.557527384942837 65.88956792443965,22.242738387712656 -45.13675371071532 -9.37116491012663
1.9234871989016484 99.48149471949016 1.2094030588562361,-2.8603704947792497 70.59609792832218 -15.972239863902937,30.349598045691202 -31.159051482058644 -7.814505746164093,-70.5965626580469 46.07103141928718 -20.829936137199507,-20.16423654239337 -0.8621316271245129 -16.11004971997495,31.10922826724306 48.91086041635256 3.925619291539905,20.52269385739033 139.68598950636238 52.418556972671645,-16.53353352340932 8.934832822323704 -26.552298982588404,20.08099282875957 -25.333681537677982 66.0838858372726,22.38908322945666 -45.58476860896304 -9.545350813753245
1.1228346301404017 99.99924349661498 1.303679827840521,-2.5620999821165578 71.8481159210264 -15.95672148157756,29.51428603021383 -31.316301230628834 -7.843011953904957,-69.49466409750046 42.87673821634068 -17.796219714724277,-20.893475377663922 -0.5380370374076211 -16.03459679284148,37.97309140094592 44.55734097678774 2.714053182505213,20.056748407516412 140.78925038420797 52.79457315573543,-17.281119334489322 9.137980999200455 -27.13720657457009,21.507995104762806 -24.79416966235896 66.2847396561165,22.56968143938898 -46.119771507802376 -9.752384788870048
0.8247296581377734 99.43520210212256 1.5782434474801261,-2.8135053647644823 71.13101689891504 -15.78761286070486,29.578691760179332 -31.519640824584837 -7.38266389992961,-68.48146574225734 44.599301621148676 -19.063307319691624,-21.197641929108265 -0.24722552754359586 -15.968270762286236,41.411639748409335 43.33074879579538 2.320139441439394,19.440704913001266 142.25586331631862 53.28393202226281,-17.61519512730686 9.238355490134365 -27.717957574280366,21.74028906154499 -24.4612175765867 66.21822790920075,22.93105723585192 -47.171431946841594 -10.16125930667641
1.0654386848783384 97.95707649632504 1.9553408714784335,-3.5414069264035466 68.65409961484819 -15.507206470369091,30.483609723910316 -31.718008608245743 -6.554945135289774,-67.76941660201575 50.609026199738736 -24.125190324916996,-21.01988021101624 -0.06017802991178459 -15.927417300377192,40.82332582675618 45.34041518029127 2.7711116639915283,18.822355303587248 143.73309413327533 53.76972194092468,-17.470755404271475 9.216323110070794 -28.146331739374336,20.772187320840125 -24.373910050110517 65.93324100890283,23.371413148234375 -48.44587566461594 -10.658310038080076
1.3264558456716824 96.18234970232697 2.246702831861646,-4.511522461479365 65.29090412893723 -15.169246699565107,31.49525200256102 -31.816785523704823 -5.5713195901033465,-67.00403083015156 57.20952793982431 -29.612089718659544,-20.654388110953544 0.010713797178925726 -15.859417747139982,38.891204757217025 48.171884783762195 3.324070241208914,18.388295359431744 144.7795947519706 54.119171912491055,-17.138839639032145 9.137944900550291 -28.282005851274597,19.431556296450246 -24.162670759083454 65.75170036955431,23.578910738753 -49.03722450902449 -10.890789600223783
1.094739462604181 94.72850486132141 2.270326043506655,-5.485724819083562 61.931463881161164 -14.828250248867107,31.88592870867179 -31.72546988455474 -4.643637652618979,-65.83457400601318 60.738455640515326 -32.18863448626541,-20.39892700124367 -0.04213200923869763 -15.71190870871846,38.3079388681701 49.41798370953612 3.2444824500614526,18.31677095010046 144.97382221678885 54.20572715629579,-16.91439404665454 9.070426746942614 -27.99755527337584,18.548033652210297 -23.46902081513829 65.98495097277348,23.25302741684821 -48.07239826362239 -10.518603520713604
0.354411919684906 93.90596557787802 2.055455202713388,-6.252542167664283 59.369786525543404 -14.547653437238266,31.520645129920826 -31.47252979377532 -3.9306957128447895,-64.37865955732697 60.3646534381459 -31.220248182417176,-20.38882350307143 -0.16171734742274643 -15.485140855701038,39.7320084337704 48.552329565488776 2.504914588653364,18.57857422373443 144.383954302042 54.04838027708291,-16.933961863339892 9.047282705203331 -27.43970698879026,18.420578379379375 -22.45398140131284 66.52872354711289,22.481876515551686 -45.80693996974236 -9.639097573675754
-0.4295936823988588 93.72819610818611 1.835634353067721,-6.626281214757032 58.30701253100486 -14.399518806731013,30.83760605442419 -31.201489839879684 -3.5399812813456975,-63.20684327406976 57.995033570518295 -28.68431100134478,-20.602312494492804 -0.22858829958571103 -15.230248275178774,41.85462254698065 46.86746610577992 1.7617731864186204,18.943867435617978 143.55178100215727 53.806883737457255,-17.180893736313465 9.069443235876498 -27.02032186067181,18.834926546585653 -21.780985722705925 66.87680547448542,21.729423790184402 -43.58789183165572 -8.77266894531931
-0.7845624142653697 94.18743941980105 1.8454319079945403,-6.432700707957315 59.398456599046874 -14.452556933740347,30.291008801676696 -31.056931092969847 -3.5702743235812284,-62.889580217360475 55.622084406444586 -26.630581898249993,-21.007818429535725 -0.12536801184949478 -15.000099087933537,43.31487976712924 45.70351273241515 1.6794710559302322,19.179610577276673 143.02641576223854 53.643331319407764,-17.628506363786748 9.135758267886988 -27.14741943000458,19.553485425967757 -22.108472378134017 66.52595108172048,21.46206648023106 -42.76968593426354 -8.442749398806251
-0.5676804518610636 95.02409883087859 2.115898388593276,-5.78613915943659 62.13299191199703 -14.672652146830202,30.128142062223073 -31.08212883005594 -3.9369330576597004,-63.48028689102752 54.50479422848893 -26.152210812301917,-21.479833367995557 0.1367637427371817 -14.837918979991379,43.53908864398131 45.65593659879534 2.36824234637505,19.19166882086002 143.02252153966086 53.62498918289171,-18.14555333703856 9.224326753314575 -27.82138808365197,20.273861884617226 -23.38584884843144 65.5116028763675,21.78696707294939 -43.672636829109145 -8.776687735647384
-0.0008686710681235221 95.70014676779438 2.453077378459935,-5.1199854032360435 64.70988791755676 -14.912005309906576,30.367538831415185 -31.20835585998909 -4.35252682071468,-64.46074817959628 55.0912024332018 -27.284732243426365,-21.788998842732923 0.40449652836148153 -14.776273077317994,42.82388763832994 46.496926275543665 3.32562793239062,19.039479237962873 143.38499684931867 53.71428320782846,-18.485184532126727 9.29030561345848 -28.591944100135088,20.622020240058845 -24.778626325861154 64.46477054893036,22.414122427947373 -45.47375114261576 -9.463928191911705
0.67533478757544 95.68106535570423 2.6545815738937772,-4.872772165019237 65.31152452559424 -15.020568812824992,31.00873747116791 -31.36221278662429 -4.527769045118154,-65.29259589347136 57.74223934536163 -29.97658802194155,-21.70712163725896 0.5199012004843707 -14.846907845668062,41.51238660942014 47.947144161709744 4.024280417651777,18.790746726941475 143.93952673355827 53.86805410837874,-18.401358450715925 9.288859445426581 -28.99401437201117,20.235181373177074 -25.42870849102795 64.03490447391248,23.035850161475977 -47.29863422613796 -10.17403062129571
1.2298325413411697 95.08849386059734 2.635689547842135,-5.066784783345513 63.945647581418896 -14.981392371533754,31.78921351474302 -31.511457642762103 -4.489703685128606,-65.78273952932099 61.16577244691721 -32.99119912596,-21.245478947046962 0.4252589534839027 -15.071793434841048,40.000122479852244 49.40056153989679 4.18654561799752,18.52491099697125 144.5089360476452 54.03729582615632,-17.89671747544613 9.218909840973911 -28.874993504004973,19.298534118869117 -25.09902766192107 64.41811280996714,23.449715644230324 -48.557240185232345 -10.67825452312555
1.443464817931596 94.8737664190248 2.460465534825836,-5.197973820433122 62.92813410698267 -14.945824058994289,32.11507037252604 -31.6758910369165 -4.66536700641646,-66.17468388604314 61.97941114585914 -33.593556262249095,-20.718152524728534 0.18956453707819698 -15.460538079027742,38.74892492869856 49.83805665949125 3.850500390589637,18.336250142330545 144.9124330093016 54.16560919998048,-17.288358755348472 9.134708055667206 -28.47738398257872,18.69015956662119 -24.33779188218214 65.23726342360925,23.586367492619477 -49.019075263396836 -10.87645614446635
1.1063217567884682 96.01870214959274 2.202080374602263,-4.73878618659196 64.67263436777215 -15.073385454769268,31.387650483363707 -31.876380763584752 -5.496209526446649,-66.73630430623503 56.76164467081687 -29.032823496161676,-20.454442009043174 -0.10967590581780506 -16.01795084722774,38.218441831110496 48.24337266333551 3.0796025970041474,18.31987449398511 144.96803386440774 54.1955508653677,-16.909990534070445 9.093321408181007 -28.066432093057365,19.311988617671304 -23.738656064240615 66.08018420939285,23.388264930060192 -48.48662383859041 -10.680735997951102
0.4348656217874549 98.36224530981005 1.9116810051453408,-3.6773696368446442 69.06509157889558 -15.391772573383504,29.83736541638447 -32.01964281356044 -6.858513265476633,-67.55265876368235 46.863889927222736 -20.593684759961107,-20.57219601945131 -0.37573297160158864 -16.5475109753379,38.54494759178207 45.07602903798434 2.1949367261636037,18.56488030878746 144.44551169094237 54.04103567967809,-16.916326447629874 9.114958573851087 -27.77656815455493,21.030671342880122 -23.647522872958927 66.62186276403168,22.962358275332857 -47.260516304106716 -10.203943742294927
0.26283220209045965 100.08876108401802 1.608529607627712,-2.74846969883213 72.33200089949489 -15.737833044604523,28.894898511378273 -31.84713170238592 -7.810346456652081,-68.4441342669204 40.54749466298151 -15.403184290111664,-20.883138293846528 -0.4840470838893524 -16.561225605506927,39.39655776858248 42.93207721946465 1.8905621576003635,19.151657062549596 143.04479628066855 53.5745128172221,-17.202943509064173 9.166466707859469 -27.552835732222718,22.214046302677797 -24.051615560336185 66.66347076976427,22.653737238830583 -46.3625660982174 -9.849560449476302
1.4596066299265678 99.27495350839494 1.309653945886155,-2.7375413813205256 70.45841486273655 -15.934655383655084,30.065818362654838 -31.092000075718218 -7.357093448259236,-69.2098466694234 46.507112916382496 -20.95143628159599,-21.176208347556017 -0.30989603298275326 -15.556237955766264,40.40650901065498 44.541183924175854 2.8788612858558165,20.156695156319156 140.46967255914316 52.6687399825239,-17.64498922604351 9.210732049822955 -27.326054729112645,21.13330916339108 -24.90714558670805 66.02060125778917,22.821388989898118 -46.85703850183768 -10.038321842330598
3.9732779984447766 95.5862434043883 1.0510751523155515,-3.8681087003430212 62.70104149479521 -15.891009825159824,33.4692764321354 -29.824465909214744 -5.330250586371631,-69.60839123393053 65.61548097563414 -37.875608996136876,-21.32580384400958 0.12478502229569488 -13.608027943604757,41.33619428577256 50.18816949501117 5.081428244157738,21.4223510744483 137.1022007971925 51.45507032645046,-18.106815870877735 9.226313610151431 -27.070599758086324,17.563033809784393 -25.956393858026992 64.83961348677691,23.47936570685661 -48.79013121846935 -10.791377304210759
6.222310970008491 91.3257922384321 0.9003489793862188,-5.430723708047972 53.74850642372302 -15.657923647852279,36.922560907609906 -28.674375508265264 -2.932904933595422,-69.33108703517085 85.7586338097189 -55.434949725739585,-21.348208296138637 0.5545662326782357 -11.752285785030788,42.15978402695295 56.0986848181421 7.106914319163586,22.402249619114063 134.4505793308398 50.494202069897085,-18.43485242624684 9.217791843053778 -26.833159156774247,13.773847462452526 -26.58645316633274 63.81603666833218,24.069025268994583 -50.51774809106837 -11.466444486264765
6.491205312908646 89.03305320858935 0.9275598662241648,-6.631132867302931 48.7768308098744 -15.299965795509605,38.03910133472579 -28.3206155016174 -1.4913022976661592,-68.06665235634793 93.66902453114355 -61.87954571838924,-21.273084307923895 0.6926785350905864 -11.109155144221669,42.87066826318598 58.13835415264533 7.449109590979354,22.516821245313306 134.11964561548993 50.3837454854819,-18.474826657800612 9.192206664097913 -26.667217707770472,12.258515143580876 -26.155672861716784 63.692610236449035,23.98163534460752 -50.247932093159676 -11.363181299039464
4.229754747524121 89.83781357467211 1.1522744069896964,-7.034016893376295 50.14983046541234 -14.896385643070357,35.928979726831166 -29.01891266377655 -1.6316533453730138,-65.92910762757195 84.13111067249892 -52.686439514869335,-21.130275976424723 0.4362729919236873 -12.107960058919232,43.36656643527988 54.75105033924732 5.616421110221411,21.579339549851113 136.6303534461684 51.31579951189158,-18.18482580105588 9.157287683337616 -26.62381152368654,14.00976736325335 -24.561659477906062 64.6929884881959,23.052309579474574 -47.49636556434781 -10.29163458775992
