2.5 97.3 1.3,-4.2 65.9 -15.6,31.7 -31.0 -6.7,-70.3 53.9 -27.4,-19.3 -1.1 -16.0,24.3 54.6 5.2,20.7 139.3 52.3,-15.7 8.7 -26.0,17.8 -25.3 65.9,22.1 -44.7 -9.2
2.3775706330081405 96.34767288810836 1.6226220374750548,-4.57948862721255 64.36718817271044 -15.393365798631061,32.11930141402062 -31.24038740745547 -6.0855115126503785,-69.32574848850453 57.38589824424758 -30.21842970693104,-19.33112382087783 -0.8842545743093178 -16.016010634137622,27.26964400348041 53.722257912785096 4.497695841103678,19.7614714451529 141.52010823615547 53.03494837473865,-15.744687943206541 8.741951785232908 -26.444726918518842,17.501275517202764 -24.801103318266005 65.9348245280601,22.458531211341732 -45.83935261813487 -9.670762126336161
2.5510701547272454 97.22033937803774 1.3094652711939054,-4.215617030448838 65.72686589458635 -15.597139723446405,31.78921889039451 -31.00793811872994 -6.674223396912221,-70.33341019337799 54.30437480230517 -27.766181876836377,-19.221015036680498 -1.1262640419107486 -16.026766220082738,24.185875642088142 54.64559251695424 5.086459695254164,20.606109829461428 139.51909760515957 52.37124799182808,-15.6151975391627 8.682691982405165 -25.952114547516874,17.661116786233244 -25.25867259921411 65.93101245002539,22.090037770779656 -44.70305236140247 -9.210308641319504
2.004366240880285 97.16661426362755 1.4819227232108572,-4.3828988480112745 66.04194913448791 -15.459617157513568,31.330945043432827 -31.113699312381133 -6.404928911985651,-69.26683944895063 53.49601228680584 -26.771582929531416,-19.946590431831247 -0.7249479292296911 -15.787491769929801,27.450517869588474 53.608537294237465 5.559738076546559,20.71476001929897 139.29063252227857 52.30733371277103,-16.405709959277704 8.866760265662185 -26.719131018583756,18.644615066291884 -25.262002167930866 65.65414017401828,22.439187687493295 -45.51025352257858 -9.465179566003956
1.0846921064229869 96.44662831504762 2.001236282442996,-4.830281632371798 65.5803945253028 -15.138121707498565,30.913094192865557 -31.363890401229135 -5.511724844480551,-66.94997881601181 54.67297483623997 -27.279756645969954,-21.065642149248006 0.015712596234103607 -15.36233389448325,34.72997172902453 51.083390949357 5.499636238618223,20.12712033599049 140.73222591198083 52.80308701731283,-17.643312607049875 9.158866557203565 -28.121209345966637,19.892599251354838 -25.060523595130913 65.09701341352829,23.038292686586487 -47.07041525873968 -10.020395000924957
0.44151209555865617 95.84163498049432 2.513041174847483,-4.979840826049632 65.31705678849039 -14.974822298590322,30.701137443242267 -31.379704464062215 -4.64105114645318,-65.15883665129088 56.16816995714291 -28.414714046753417,-21.779308918432466 0.4931593779683522 -14.904201741157644,41.17231600962489 48.043918563245214 4.342036868027694,19.166856848266303 143.05725500045793 53.58610047546177,-18.46246575520823 9.312724170986272 -28.934787765488625,20.537227740436393 -25.16297875566891 64.32474142965008,23.013156166764805 -47.11057663385632 -10.067794803692257
0.6405776858828903 96.02348879917133 2.701367038505281,-4.34104990055028 66.08430876592837 -15.263808691796017,30.83951023376734 -30.828066155591614 -4.353198509525619,-65.43503826002585 56.52204315916283 -29.398091475070867,-21.393165729762405 0.1831736788568657 -14.53914238081916,42.45565814998722 45.431214860391336 1.652711038477498,18.160025552481834 145.47300354120605 54.38316994219298,-18.11206990609296 9.112961066410664 -28.097226057279197,19.82904597309378 -26.011449226414435 63.401888262013365,21.617239004380334 -43.685257464373244 -8.91453705858872
1.4897143366952943 96.66791642298753 2.601305951095808,-3.2151804827561596 67.41589877108882 -15.86336391989126,31.285731705866972 -29.790839334212233 -4.423940443277805,-67.19339769010662 56.182245453627225 -30.360851592014566,-20.157428246032364 -0.7284833656260798 -14.150364591735299,39.08397305329853 43.8734246417473 -1.8410133925691416,17.441231299265784 147.16317461050414 54.92439800628871,-16.87623450123201 8.624075074254652 -26.00365379980537,18.085149038597166 -27.443648365531214 62.38493514843833,19.257364642146594 -37.80947936666969 -6.910821006799441
2.3995733891204716 96.92864604268894 2.4319163821441667,-2.3184282508989926 68.16506008106924 -16.40339628144047,31.899371710468763 -28.56732743466421 -4.217941836594413,-68.73422128646683 56.595856087631326 -31.910469105668504,-18.81732987187785 -1.6840016033329273 -13.493823195463069,34.09012315056408 43.834698325022515 -4.803120806358578,17.34955877444903 147.29911436000563 54.94162007616302,-15.58154699138327 8.05722354968883 -23.813112114587693,16.181533431352506 -28.98058393126551 61.32612771587605,16.944750288359312 -32.04964847666953 -4.953428196637946
2.8281500523585783 96.05913641683583 2.3958730330598055,-2.2924138232192752 67.32454340233491 -16.549000471792574,32.54102476739839 -27.447850099536367 -3.177495539057621,-68.52132617823595 59.03140035336381 -34.55686640652259,-18.064588468948532 -2.168116950458527 -12.367311420815785,30.33307403094513 45.65771226180585 -6.024001446580832,18.17779024726133 145.16489809196196 54.20340227389303,-14.990759577472275 7.612465399981115 -22.598034437648657,14.940267031877735 -30.1765751932542 60.28297758438881,15.608138608176118 -28.7639936010667 -3.8667645968514446
2.772649611966976 94.41933520894707 2.5049105902437185,-2.949068762917161 65.43037371763563 -16.359782125268026,33.091294484739734 -26.6071495056039 -1.6066073909823109,-66.85678716127 62.770333152718024 -37.73082520367119,-17.977121854243702 -2.151543644325886 -11.024249609091596,28.59137865981075 48.41205600025892 -5.691551198401853,19.727192120782846 141.24139463929617 52.86772634203883,-15.138941169118734 7.358458931106088 -22.44097408342728,14.55927456551112 -30.96881023570166 59.369244418527174,15.245116554939873 -27.957967061355387 -3.6565884658853123
2.5550447261873956 93.03563069692251 2.6557601640629716,-3.6006011555255912 63.94809337969768 -16.132961651509415,33.44283598687503 -26.15035527683631 -0.3282947947426299,-65.14986552314082 65.89729267682621 -40.2131584848871,-18.26315477596586 -1.8977016958604271 -9.99248327784862,28.390553066549717 50.400536206551664 -4.8353865590353795,21.502989749379477 136.73030411692028 51.327119877349546,-15.622875486132367 7.284719588171425 -22.828277469542385,14.860558011384075 -31.525079841912234 58.73256619934232,15.292434021734632 -28.21993891162488 -3.835584809873018
2.4830324638205563 92.85468185491263 2.7494817263692557,-3.610180476576836 64.21564630558699 -16.145364279532508,33.504291115808726 -26.169657642942195 -0.10569412120264456,-64.71999832007874 66.65700951585453 -40.893299058521976,-18.632123114007015 -1.6622139037857067 -9.7644588706557,29.20157547631897 50.09101250838753 -4.429027158543393,23.013792898340213 132.8297028648441 49.97455896350598,-16.047712711723268 7.375670286936487 -23.26252455240933,15.644868552604237 -31.99996791528772 58.51220691611207,15.212546856528226 -28.19820757783214 -3.934958303349326
2.6248803623415657 93.68740606729456 2.7626399991447674,-3.0798693943574653 65.77740585264216 -16.371497852388423,33.38645128231814 -26.60414095330727 -0.845693488011732,-65.54450356303984 65.54990340135153 -40.16266932899261,-18.873853569114242 -1.5496789891395701 -10.332133768767642,30.018608729466898 48.194904440997306 -4.5814296470140805,23.863437750239132 130.56479173267877 49.16756522536202,-16.202463442012096 7.564562616820831 -23.558405146393252,16.50744118569795 -32.33881872365622 58.73448542321966,14.89484113624677 -27.555620553707197 -3.8091241888540517
2.883473719842753 94.56022481087335 2.7239534407612083,-2.6221096026895525 66.93886430109949 -16.57704916244848,33.339739579992674 -27.28713404248883 -1.8637407974030296,-66.67365132533915 64.63447639283847 -39.45016774450862,-18.833701556079262 -1.5603781310505747 -11.341760287511056,29.506462826384375 46.973335787212136 -4.804367190427072,23.721536660087377 130.8413605033291 49.23917066961777,-16.003137004865895 7.749302366350491 -23.746194114852102,16.901553785285795 -32.34244749823442 59.34770547293094,14.523598379219939 -26.655809383565 -3.5357504014119576
3.1586335767726808 94.54831431506973 2.6623984726214776,-2.8194259529757044 66.10359942412826 -16.537431904884624,33.595792956554 -28.055654113039978 -2.5021711716235044,-67.19179677847606 65.84558179335225 -40.09630486454171,-18.380079260196787 -1.6865689526518415 -12.443688452697103,26.47279302917346 48.55023020613131 -4.615850318621127,22.30487570325289 134.44207578147984 50.47898693287877,-15.387519886824348 7.834950257248922 -23.866611491545704,16.33020034077461 -31.82160252676051 60.29471497412075,14.294757070569496 -25.90116758379508 -3.2099111828374007
3.353712811670342 93.73017533129274 2.5947957960534263,-3.629689986196566 63.588423970795915 -16.244454766859967,34.05009820603225 -28.837015769918942 -2.705890367479958,-67.00216436696583 68.70734735298007 -41.741994281539654,-17.723585625260647 -1.8277942089311336 -13.459373268851737,22.054093498993655 52.4301448796482 -3.816350300844544,20.04518580052095 140.26739044371305 52.507382158201324,-14.593470337243726 7.849062020505977 -24.05632789479211,15.115384691251585 -30.786698753115218 61.45751424183033,14.494495620066482 -26.08094608952433 -3.128763690476933
3.374857427228595 92.97777928677937 2.5283528644160294,-4.516771478682876 61.22321631955901 -15.861060576862837,34.33230062871947 -29.6299445517766 -2.8963420097970367,-66.65557434429181 70.83739899531706 -42.68403776320651,-17.34543508643894 -1.8102738889372143 -14.345586659526566,19.22860085882309 56.04613326044274 -2.4297200828445016,17.93960593082824 145.72922462754184 54.41545895642124,-14.096155810250009 7.916067524699174 -24.527895647688787,14.226817658633202 -29.40605580019153 62.669982788366084,15.480357915379598 -28.290338739464104 -3.749280638903665
3.131562113398895 93.13820594418682 2.4694359202442886,-4.957229405196519 60.781580774612884 -15.548056425146433,34.08314496708753 -30.431176364794087 -3.482218013764048,-66.68769785302044 69.92461474077479 -41.27225719891802,-17.707632773479034 -1.4696011183786122 -15.062484546765678,20.872377710200208 56.88819963450467 -0.5038218551259763,16.955577763677663 148.3156546575557 55.32099914265177,-14.351303215539781 8.155778969870223 -25.47755857038385,14.601484280889942 -27.849941595711822 63.76971953284525,17.57385742026326 -33.52620880482655 -5.492074723290024
2.5965563858578484 94.15882746827118 2.413228836456317,-4.933506277639931 62.151265646440955 -15.334672556766959,33.29814058759114 -31.161317017510115 -4.374334429047947,-66.99973725955594 66.04077253192146 -37.590296235868884,-18.758188100333065 -0.8611839787700202 -15.564207851284413,26.915236565645802 54.63996680637748 1.5674142197351588,17.18832048293203 147.7718612607039 55.13661407837565,-15.31375094029495 8.547658490895232 -26.74637883835082,16.202197288508334 -26.242946822170673 64.69158889586865,20.362610334005208 -40.72387291648787 -7.990817717498866
1.799765412095926 95.17323403081689 2.3448010765174176,-4.885614282803545 63.51426989695955 -15.131128476443324,32.293680067423956 -31.672112943785265 -5.033180537994248,-66.91902041112765 61.41297394339084 -33.29003349984832,-19.980203372294053 -0.23925231687325907 -15.799456948691617,34.622118289572555 50.96917692561512 3.0770408559637223,17.94413145570516 145.88456724180952 54.493835331847734,-16.485285667944385 8.944222139266518 -27.854158222744623,18.11063438129203 -24.668347272934657 65.4584315625805,22.77042565907999 -46.953986856076504 -10.167396419042591
