-25.6 -15.4 4.9,-24.0 -6.2 -1.4,-24.7 1.5 11.2,44.0 3.4 1.7,5.9 -4.4 -3.9,-8.2 6.6 -39.4,26.8 60.9 16.0,6.8 6.8 -5.0,2.6 -24.4 20.1,28.4 -69.5 -20.0
-17.320884557556084 -1.0099564470528348 -1.6067584132197645,-16.355150986540043 9.340166261124176 -4.226419338912115,-20.948947814375348 6.482133890781311 0.6525869975108042,30.88206785922906 -4.677273815048841 8.172226319204366,7.448770525600415 -4.198681831865743 6.279547901154723,-16.985121006846565 26.215812925942856 -36.67633291617057,26.158082770375167 58.023385838534125 14.668449855897755,6.373339958189813 7.01663913841626 5.002921881302751,-6.924435005574523 -37.59248837243473 20.173849024804287,28.85476432310185 -72.47213287267961 -21.387000913831717
-18.35844532185374 -2.6255033462864263 -1.564093036752938,-16.309345914042694 6.736380507504017 -3.9057703734998,-19.743486263009384 6.079325793636417 1.786843856160908,28.598187634185212 -3.6078655212956665 9.01213561609091,6.910552892378777 -4.075199684878312 5.154532542476544,-13.88169278778823 23.50671579765273 -36.05286008214153,25.61132201321488 55.597112477376825 13.58778509305314,6.029964268075214 7.233178555016646 4.1082957835100835,-7.799311853602619 -36.91446994860765 20.133439554762134,28.779728369426387 -71.78033586150582 -21.03943857622829
-19.62842329328138 -4.948932959025095 -1.403964075716772,-16.45621220366374 3.2136065673693586 -3.4991192703171783,-18.722538756522557 5.393646524917865 2.7399634398784953,26.964563306780505 -2.3736967551142625 9.817073971331451,6.657141081761418 -3.8888750201081246 3.5235628507777554,-11.020639302100435 21.660039774736973 -34.42378463008166,25.431692748157623 55.05758217997519 13.36613610633934,6.06192343713357 7.506828335722498 2.6825377252074354,-9.152869181128183 -36.30648252214371 19.939232858344504,28.742214327204202 -71.46384912924277 -20.879129845778017
-19.56180727390798 -6.9935039104789105 -1.0974967134171116,-16.297809672542698 0.5206876235697598 -3.088243787438831,-18.412558367947963 4.7334420534087345 3.1344268011471805,27.057973376471775 -1.5332935158903291 9.924010005236404,6.066272356188711 -3.788472495721428 2.204757516099739,-9.972372191849756 20.736897129802024 -33.861015027214414,25.74432883644171 56.69619440097445 14.114080767688243,5.730233528661872 7.591358852536878 1.2050693897629612,-10.060134746909947 -35.391619342943905 20.470201915017622,28.6741279423092 -70.87023007196636 -20.58785323779469
-17.699546442678685 -8.13872152160199 -0.6845392966325317,-15.700903937770327 -0.4290338628127264 -2.7256261419502494,-18.934454672668505 4.277715753029125 2.8534285144959957,29.043401643029505 -1.335937739757205 9.14682315283599,5.026450129474254 -3.83685121659041 1.6440217842499882,-11.251800592626793 20.8338678434222 -35.09309398880806,26.52191022112842 60.25576537734056 15.707259179531535,4.8515631434987085 7.392063437899353 0.03137086217349542,-10.087964188278601 -34.208454613839855 21.970428614403566,28.567778878888088 -69.91822685927815 -20.124048263640343
-15.557686172075039 -8.415801273214909 -0.3272281937778057,-15.18122886093607 -0.20893002847671086 -2.4116192022677576,-19.68750119922323 3.9753149740264995 2.2440844760821985,31.463357556549305 -1.4806333665089062 8.148022002446414,4.335050152121419 -3.9440074153176767 1.6249333331290967,-13.495641385379807 22.110644180592356 -36.45813963616383,27.465835852052482 64.5029462074917 17.603256256093516,4.231325377052762 7.083859843847044 -0.7036231039686391,-9.67838615871923 -33.53488158518583 23.554250937255812,28.522961312733905 -69.54298135020908 -19.9384531613512
-14.848895490637478 -7.9239009422823665 -0.1994418987512859,-15.318640121725027 0.4558766914537904 -2.1413450075577254,-19.999511249396324 3.751710562691397 1.7003602117322283,32.69946805518455 -1.610918047164243 7.674829656217572,4.878412586795866 -4.004610172730911 1.8633345531352354,-15.151443321579732 24.72947801838471 -36.05672482749024,28.250202367556565 68.10612911826003 19.21756850456399,4.772161386810774 6.868756441024539 -0.8885482552834644,-9.362219285936755 -34.22006717099792 24.222676829136216,28.64994392840306 -70.77852502629554 -20.529719849542893
-16.255637948547587 -6.8747552562157 -0.34749201267389507,-16.283019208941013 1.0624724676681676 -1.9310192430303794,-19.63078127764729 3.5838667040186354 1.4725521867554472,32.07374593751771 -1.556127971203358 8.066132768352034,6.8450214533213645 -3.9768977009113815 2.1547244345218295,-15.322737961780843 28.26975589081371 -33.2990259886436,28.64690041370276 70.08331728397488 20.114267127835394,6.683317336592875 6.844922283837554 -0.5355306069541286,-9.45975710610182 -36.383902780163446 23.438604773299655,28.969590827153745 -73.78993429992673 -21.977929222863033
-18.35062580667973 -5.710644567876976 -0.5564467030373335,-17.404664056491224 1.5630030705745241 -1.840055138339308,-19.227287253957076 3.55420046595132 1.51673790526685,30.83401426344635 -1.5260949809684206 8.824588361561403,8.994225586318594 -3.9492910341439793 2.4577302150392626,-14.456439916132203 31.117218078946756 -30.277148416337756,28.6280923670056 70.16847992916873 20.16168850929261,8.754040164222342 6.897874547122355 0.09040888517544483,-9.860160150730923 -38.652801122876824 21.610835966476337,29.31967502905136 -76.96275798827453 -23.50597322090735
-19.451290495723672 -4.901140933992641 -0.5796751008218093,-17.91242000537649 1.965487089281545 -1.9328279127212538,-19.541708254560394 3.757796276309289 1.7529538028426206,30.460962823612793 -1.776736205211465 9.351224827813024,9.913131501673853 -4.026014965336485 2.7510050162682647,-13.16340285192337 31.515111490559327 -29.40703090773514,28.19067123974864 68.18458288488026 19.266056921549524,9.602389765735545 6.887268904715044 0.6937877401660228,-10.399830587518904 -39.47323905221238 19.264139278463993,29.515764114058214 -78.46739103494835 -24.233110668945756
-18.72713380388735 -4.653602329593332 -0.2513043072838509,-17.412654401798108 2.3208917085115908 -2.182144169989751,-20.839063881752438 4.221273701233996 2.096836131742071,31.613531326885774 -2.422927876045865 9.260445002300559,8.957308636144296 -4.27314803787515 3.0276977416527524,-11.900570788181453 28.73107127958972 -31.830907096408957,27.38988276870836 64.32694137525534 17.510542217876196,8.597160441097298 6.72212566415673 1.1201145793460665,-10.923921490216884 -38.11189789659851 16.964572820326907,29.433007534328546 -77.24042148271151 -23.64917098858659
-17.361775186723484 -4.5555670048358285 0.40364347795487815,-16.404118341464255 2.7817056885821527 -2.344361291812657,-22.231647846775775 4.8094155685247575 2.453620023143506,33.00821266041506 -3.246154787622631 8.671024665561905,7.298813447739217 -4.666598970053329 3.3152223175834044,-10.7610772451819 24.454174029797343 -35.680235683630364,26.418906433223725 59.671027391384385 15.39657691848528,6.8817269730861845 6.428152892408856 1.548171758437157,-11.298271260187313 -35.774252313054106 15.375793909078187,29.08739393490297 -74.02955900763808 -22.11993566161508
-16.82869077744603 -4.105419713304824 1.3324350348928176,-15.514108532418605 3.514868379429191 -2.144814429791677,-22.665977666688956 5.363671341503 2.7270794718036995,33.082031542658925 -3.979845495527001 7.774680538541125,6.371104665216697 -5.169197940506677 3.6459301920579366,-9.785593855519654 20.7223483203862 -38.65282052489416,25.49082990767303 55.41920174606504 13.485883510499932,5.854848079222289 6.047933886212115 2.2046197828905134,-11.391860690832761 -33.94505891994201 15.174948146397558,28.51534692733952 -69.8442114064915 -20.13774555738755
