-0.9 -12.0 -2.5,-1.3 -11.1 4.6,-11.9 4.0 6.6,23.6 2.9 4.2,2.0 -1.7 7.9,73.1 -39.1 -44.2,29.9 84.3 27.2,2.1 5.4 -9.6,53.2 47.9 49.7,26.0 -122.3 -45.5
-1.0548295748550949 -11.563688409243905 -2.3515728217922782,-0.9781772519564145 -10.964303555511544 4.907706405782815,-12.654357575998173 3.721022100910004 6.6175887310256805,24.850861061587718 2.912879597957178 3.9833253198153202,2.908669200574616 -1.8303221044111615 7.673568921968543,72.51175280373783 -35.72787897022626 -42.20189894083425,29.889274335096125 85.03474673661785 27.542020313124944,3.0086729058972965 5.334321951835532 -9.528505969305586,52.58871511322166 46.26708242512172 48.98998767393662,26.044739635235956 -122.3554115909885 -45.58616668904207
-1.0982869995222535 -11.15566733818387 -2.2938279346680472,-0.8243071428244079 -10.736107829610384 5.093058539497399,-13.054459724263804 3.6103708219178623 6.514872276931891,25.6928490548801 2.8091093507493783 3.896945712492726,3.5916585234590124 -1.8957104311733353 7.690987427752999,72.73782395712442 -33.89415410432719 -41.58019937106479,29.896237907567972 85.16341194661413 27.58531344505332,3.6916598231235587 5.299907860417491 -9.416701536725286,52.327183738729524 45.10368507428145 48.500189801528634,26.094803447952216 -122.12861946006238 -45.50981482407243
-1.0752399727143396 -11.018894706860294 -2.39418069751185,-0.7417465262251923 -10.619845410748097 5.003593041232126,-13.117168080675961 3.606791057224806 6.476123591599698,25.91775333248821 2.821981660394799 3.9920913601066075,3.957826659117279 -1.8794248576533361 7.745690002954758,73.06762554950203 -32.01466328226926 -40.527192694652705,29.92256884236583 85.38478917441218 27.682637733865917,4.05781947313787 5.329652882394306 -9.371097375997307,52.292714947181985 44.31959136040757 48.05448163383727,26.096127401947623 -122.08115291815139 -45.4941668749914
-0.9993829182391428 -11.150119385480602 -2.5972990558015736,-0.7360866890261478 -10.63725422949272 4.719988767659008,-12.890836529944329 3.684763005574619 6.506751240779814,25.585532025617592 2.9351013490612794 4.2027535790843356,3.9801521043758545 -1.8011522794907853 7.800622784023558,73.37558399550763 -30.502679406976284 -39.31363324108128,29.96018491082367 85.63844147252537 27.806915703612695,4.080138344317455 5.40677492614791 -9.40033803131615,52.4386670409332 44.05084101848294 47.7737616560337,26.056258977645616 -122.19902329984915 -45.53514652960654
-0.9167061414196772 -11.422736601624706 -2.774417890646746,-0.7826544767905165 -10.756766305486842 4.4446644505640105,-12.572488817195627 3.7803971907370633 6.578449901074218,25.035070692848176 3.070940062144194 4.378719429798069,3.775038606264974 -1.7161585786024338 7.8103157347565695,73.51122331953046 -29.797577035169432 -38.41952207198262,29.99385298945027 85.79253899739203 27.892347256855874,3.875032732035892 5.485252600820271 -9.476382142366752,52.64951907945874 44.269114610489254 47.75232419896746,26.00912795472306 -122.36432352709025 -45.58928767614492
-0.8693623895915605 -11.714902294758105 -2.8116371291767606,-0.8566844193566049 -10.943966317013516 4.3581885294642175,-12.343155161463583 3.8351855961248598 6.663478467355786,24.581349889600013 3.15888341191991 4.3879516459935655,3.4602981342763433 -1.674302185724981 7.737268374856953,73.34805423611625 -30.246909219051854 -38.25787137134494,30.009973689670026 85.73766108232921 27.88355552858192,3.5603231003506455 5.5236563774985825 -9.570923031400776,52.81738001374656 44.92075746019993 48.059502300364485,25.985456047070926 -122.46938798631335 -45.61709752669508
-0.863934673816382 -11.952624624910484 -2.7305272004089858,-0.9339440174061492 -11.141503964799146 4.441382551467424,-12.234994708480368 3.8401905959023495 6.74062125888988,24.314300262914223 3.1925333447503217 4.263804633096497,3.1598489799299285 -1.6757648556368103 7.6152249565191745,72.97399997765405 -31.38055060906083 -38.63664284097824,30.00979529193626 85.56685149507786 27.819583140112723,3.2598999838116676 5.522697277195963 -9.654935859831832,52.90528791463179 45.734177180732004 48.543854089881464,25.986257453004086 -122.50227072917347 -45.61617765556663
-0.8883664832270399 -12.08698763425111 -2.623648809228408,-0.9904800630288106 -11.280010389359084 4.570395188050077,-12.202154059438211 3.812450814895689 6.792082097131049,24.20592010661005 3.199142935533844 4.126302589846471,3.0008093157477003 -1.6946963960775039 7.515263934905786,72.58934184400175 -32.29988984204855 -39.04673505791586,30.002346664399735 85.47925094590762 27.788951125331,3.100834801167259 5.505169130266036 -9.699019453005524,52.91344966619544 46.3235760195632 48.93824556191278,25.996978814087424 -122.50118554944635 -45.60356810500507
-0.9300960425649355 -12.075780574662264 -2.5772419952798655,-1.0044973197725056 -11.29696602270021 4.6297109081715915,-12.201192986639878 3.769170788358151 6.801910112920579,24.226893108814956 3.2041161947389982 4.0863480201232365,3.0943869083125235 -1.7068265304885315 7.5020764262014925,72.38189717862603 -32.18993367634608 -39.02228479989658,29.99622204539736 85.65144930911569 27.870180120223548,3.194300677114821 5.49259282740383 -9.677620927330265,52.845155282185075 46.340638101385586 48.999080255872215,26.003940100106476 -122.50181643912639 -45.59530363330245
-0.9729421219830678 -11.945570020478264 -2.6038826850084926,-0.977062600559505 -11.203618639701697 4.601994844964581,-12.221546635752082 3.7268905114686044 6.77340723497063,24.344965896740927 3.2101048856249035 4.15000743277935,3.382740196997309 -1.7070714934127438 7.569123229123474,72.39680090596835 -31.1625571111007 -38.585616569570696,29.99467973020202 86.01095378849111 28.031105860140414,3.4825516444625344 5.490927185154348 -9.606038688869596,52.73292662031903 45.84525019344315 48.74320519653018,26.004176915272723 -122.50833436276507 -45.59494254754542
-0.9985434864587788 -11.76434727322682 -2.671778753233584,-0.9230125791419288 -11.05564624231933 4.5290465538398115,-12.272451059549152 3.701749725509581 6.721471392987256,24.526116099580896 3.2060570446976877 4.260204394499542,3.706208852833438 -1.7019035957250097 7.666962971094789,72.59325002685415 -29.887889852842214 -38.05309137177596,29.99776416426136 86.33524856705796 28.17289833000936,3.8061014086869664 5.4967579497940235 -9.524175962094223,52.62689193994162 45.1431603804093 48.3443330723025,26.00117891314091 -122.50592992164427 -45.59852856179643
-0.990300762942487 -11.598887835046526 -2.748768143935771,-0.8579079985121548 -10.90837670114617 4.4523839260930735,-12.360588847057604 3.708364709010576 6.661416309669856,24.733918775389917 3.1819902468560555 4.3608478281296374,3.91125175712857 -1.6976433005840523 7.747848632500602,72.92407699693304 -29.015235492166322 -37.730633387007444,30.005076182420364 86.41523385363315 28.202674331585694,4.01154758531035 5.506310573894619 -9.470295079351104,52.574686401597006 44.53434616801088 47.97375353233758,25.998383898303025 -122.48114387014034 -45.60213762848089
-0.9545090654705711 -11.493158738087288 -2.80575288391458,-0.8041432841281976 -10.804862496032149 4.399542312851182,-12.456539506560992 3.7419564100689238 6.611832194997281,24.901561437491946 3.1439940839219935 4.4195242944838675,3.9403930398228098 -1.6966417010083534 7.793215676583718,73.2758832976053 -28.829771593000952 -37.739182155478346,30.011112844171112 86.23957247699362 28.11524054362487,4.041088226035721 5.512852815579875 -9.45737187841579,52.58899872332344 44.2018813262754 47.74425184128065,25.9974338968301 -122.44110100056659 -45.60357713491271
-0.9132775203394369 -11.475372417216274 -2.8157514677061544,-0.788833121739859 -10.77967707084881 4.388398842244809,-12.50594490264941 3.7843487527695903 6.593572441775423,24.94124187346932 3.1092596444102885 4.4201753159755235,3.8025124130508727 -1.6985081090877947 7.8046569145089855,73.48952239089705 -29.365161307603675 -38.071901943015845,30.00684585525127 85.93352873180088 27.965974068878005,3.9029559027608993 5.5076094513558695 -9.480915942691581,52.6583789094086 44.24809018093609 47.728202266564985,25.998730528600973 -122.40714421054122 -45.60185043023058
-0.8879918475159757 -11.570647453565995 -2.7546487786468647,-0.8369098320104503 -10.86375230035991 4.434324959268546,-12.457947622101003 3.818255843471585 6.6256146795879864,24.77231907638283 3.094051024104397 4.34957184732385,3.5101283352108945 -1.7026466975719179 7.784813754764794,73.41712435158146 -30.63498995596314 -38.71439653232887,29.98400991577193 85.62027286370642 27.809527758202922,3.6091212639403376 5.482670580672583 -9.535540580988886,52.77049192031973 44.76106963581736 47.989037778591545,26.002463976254965 -122.39988410434442 -45.59628972411958
-0.8838561258903158 -11.760761938087866 -2.6423546794899186,-0.9378227704771535 -11.033885037377333 4.51662910868641,-12.323994812216219 3.8444234510328648 6.696995030769461,24.432291903750613 3.096738871141069 4.233517295806441,3.1118983378367147 -1.7061143497050655 7.746420874027543,73.1007898008874 -32.417882148747836 -39.574049286593784,29.947326814541743 85.34796237567124 27.670477252298856,3.209341984234766 5.444248699154416 -9.60730553666827,52.90669385737624 45.63218518410636 48.46334836156616,26.005913269654634 -122.4241061267796 -45.59098256690694
-0.8932773209562722 -11.993218503214099 -2.533595814005659,-1.0529598911046865 -11.224059912433182 4.586099617854513,-12.164806652760436 3.8778575314350703 6.773070630973871,24.052089121399533 3.101542952575238 4.1286835522592344,2.6850602314809335 -1.704111614764614 7.710195124386417,72.73285595307041 -34.30664581545128 -40.49638361461539,29.911789069151528 85.10543158026883 27.549611885691377,2.7832592870115818 5.409724879482605 -9.675506038509518,53.04335151422889 46.597218953953465 48.9874113014853,26.004055178216785 -122.47208052969913 -45.593777229674146
-0.9087627887120804 -12.213115733627575 -2.4813537959579524,-1.1440606763222267 -11.367793707876604 4.5954922834690946,-12.04074742060534 3.932430382091714 6.8193020465462055,23.761111673648863 3.0928477188194647 4.089908573518181,2.3071087107309918 -1.692430945872769 7.696494048753809,72.50265892465788 -35.900138645305574 -41.33040735250918,29.89201850090361 84.8820750067994 27.44777920278046,2.410506556484838 5.395812719371911 -9.719348419730991,53.15735049934955 47.392533479675166 49.398072356264976,25.992455502684752 -122.53457451594343 -45.6116155620302
-0.9315127676823179 -12.337184314718268 -2.486517303307114,-1.1944652756691827 -11.412154491144591 4.550631451075165,-11.979302920349664 3.992582886515755 6.815643785830483,23.609934957718128 3.065687249847591 4.120302931595647,2.0454207229320036 -1.6792820967473394 7.714519882297378,72.46226364866682 -37.01217612350518 -42.0251032685342,29.89005392460857 84.70941715860764 27.37950349228782,2.154796291481615 5.400434182879043 -9.719890831669472,53.23823463275808 47.84780743274908 49.596096743730634,25.979277150212123 -122.5799151546706 -45.63193955966121
