-16.6 5.2 -9.8,-11.1 9.6 -5.9,-22.0 6.1 -6.9,43.8 -3.2 12.1,29.9 1.2 7.4,-2.5 69.1 -43.9,29.4 102.9 36.4,28.1 13.9 11.2,-3.8 -62.4 41.6,28.6 -109.2 -39.5
-16.79224741596323 5.6503661689137346 -9.67404053424779,-12.535113271877158 10.037753732407523 -5.692226616560415,-19.034145894923427 5.3902004535144465 -7.864869330512417,41.1739917853532 -3.3460330321368246 12.895395339822594,29.9927594980913 0.9044275553985311 7.393405581086264,-5.435824791977856 68.07222385690844 -40.279441924832135,28.579130898377294 108.8592186766776 39.305807093454426,28.315317817960942 13.393386344383554 10.364478958877129,-4.673247394675645 -66.8165524536986 39.772567933814734,28.399890863425817 -110.83531062021312 -40.23609276132413
-16.978593790867578 5.820082756892268 -9.490230558519313,-13.160588694145327 10.261503342983604 -5.653908147902274,-17.931116092770093 5.017186133351513 -8.052150766067951,40.370385086321164 -3.2410614608125337 13.058456081972379,29.974232091679795 0.6667357947735181 7.231564820478731,-6.409903532274941 67.88936766814783 -39.138329719353735,28.261975726707483 111.23893079250884 40.46678683902776,28.358948141492636 13.06834902559608 9.929863246041691,-4.947078923458582 -68.32437077154697 39.03981519055027,28.317261344070673 -111.50799329804357 -40.54602912637838
-17.18809650153579 5.804077443751039 -9.308188939595855,-13.208804878788301 10.302270107062736 -5.697199199208313,-18.070770558236937 4.90055222345987 -7.725723680509276,40.6683151276036 -3.0126861540757295 12.818903484895204,29.903906270571902 0.5058329994382219 7.011104805198366,-6.0434754939618385 68.27043605251451 -39.64493444010543,28.291988049780784 111.15057480868786 40.42461126099478,28.304116376406725 12.904439189630468 9.80019786731844,-4.814223467606629 -67.85973944953165 39.08276667859638,28.300076252401595 -111.60355117362197 -40.60090747131516
-17.44981292479062 5.697277909305484 -9.187534544258703,-12.912140437789876 10.19107529997942 -5.734254375661269,-18.83296925602087 4.959893907788189 -7.149467447679074,41.34691713390019 -2.7885079799750154 12.406458807036934,29.841270524574057 0.44062745070590326 6.828652622266128,-4.957779950109136 68.93443362880495 -40.9675271436279,28.512621432387423 109.70558918640889 39.720952383630284,28.224047928514842 12.881207982479623 9.87952782853212,-4.467409908377607 -66.35894298363915 39.58244730634287,28.296300398885613 -111.5074873870789 -40.57182617228686
-17.792800437454826 5.594611833371035 -9.187886239289139,-12.502973983133856 9.958940197068165 -5.67722828244388,-19.59757215081883 5.114806370285138 -6.587261441420023,41.68532632991064 -2.6961278065589958 12.050843306843424,29.845813343492694 0.49002742988982284 6.7808353587029835,-3.774056173787419 69.60036501581553 -42.27437888646178,28.76732943931762 108.01541238686615 38.89748223120906,28.19196820362863 12.978206550136438 10.071898135507492,-4.099367127029338 -64.75826586985607 40.21988198217954,28.253898593989753 -111.60530507854499 -40.62988360544588
-18.246116416351153 5.59100689576313 -9.368862891468442,-12.213684126804026 9.636886073663462 -5.4382755247388825,-19.74443920732773 5.284884794899389 -6.3029850355748,40.96267794033463 -2.8631465018762725 11.981778242760528,29.97702321713424 0.6729412183032413 6.964280101529889,-3.1135434380672713 69.98723483234264 -42.73376072514774,28.899565635361583 107.19148287125378 38.4958728280059,28.281102607559724 13.174986038593811 10.281353794069302,-3.902824004819641 -63.993992604168895 40.67609561449615,28.120835648181036 -112.2825073881508 -40.94617814694462
-18.807638863873322 5.7585751521308275 -9.76480151989998,-12.21809287204767 9.266587945580849 -4.972690051646297,-18.80143562869169 5.404587323420423 -6.476648384874816,38.65856079505518 -3.3631007443265597 12.372348964997247,30.26665675210193 0.9946104379882577 7.443937193314561,-3.435959911325483 69.88993398088772 -41.74364309101841,28.794693739665767 108.0431271179267 38.91053266874767,28.534648609993173 13.44552359655193 10.427865152727476,-4.010079879180475 -64.75819940452497 40.71509647259254,27.87250964744943 -113.74518735305124 -41.61139309200875
-19.305278013107724 6.045054105524664 -10.27222049490166,-12.370813246710705 8.947797442984298 -4.470930827256785,-17.10324589154358 5.489394370719625 -6.831066323525285,35.34529418268104 -3.9748077100005954 13.086902141156122,30.595296055412227 1.3857758066955876 8.112077899759592,-4.320525600458902 69.51703139946663 -39.95415400546789,28.56654181928924 109.73277198828058 39.733094243961645,28.832112733832655 13.733410904647052 10.518216199496312,-4.224015202385651 -66.41171267950871 40.553259077554856,27.63386538071965 -115.22142175598965 -42.27784591954864
-19.509311523312782 6.3560084069646425 -10.740906718329065,-12.418221082161441 8.799958781154112 -4.203196434198355,-15.25813028947673 5.582259337600566 -6.934028158412777,31.96571980964919 -4.377151255015615 13.885097503243687,30.792263071382227 1.7519163182366153 8.802421564126435,-5.047901700280695 69.21736573734674 -38.44000236806269,28.40640550147501 110.86441456523889 40.282985216648534,28.997497269539473 13.971936556414704 10.588627641530472,-4.235811259881147 -67.86395941513 40.560346039926536,27.580555847259717 -115.60766218855082 -42.44921327865488
-19.25185515048587 6.611618925032139 -11.049925867842875,-12.160047478879392 8.913210712475887 -4.380417914204401,-13.806993714069652 5.716845039712031 -6.463783593570762,29.35817372024562 -4.325701424945564 14.55218775851223,30.72436915347319 2.0144552715952844 9.367408701281834,-5.02419493886337 69.2859237195896 -38.08831001523334,28.46962519560097 110.31023588328344 40.01061232522489,28.89359084365969 14.10880377730241 10.670999538172769,-3.8112091519640883 -68.19873214308606 41.0114236384363,27.843215106659866 -114.07532338230692 -41.753647303885856
-18.76023083217097 6.825625758192415 -11.265564035533691,-11.737317869747177 9.19044059206913 -4.834622137999919,-12.859186725950359 5.867341298173879 -5.80480135054814,27.691689559826 -4.066275131887521 15.037406747673556,30.49810397306768 2.196769382116998 9.779338484737412,-4.458169008979111 69.67306081321266 -38.586045159790864,28.681525450904793 108.65796678844902 39.20424153242534,28.631164691736416 14.18382330169069 10.769487720447794,-3.1926781225121554 -67.61568039309537 41.576019671588064,28.26471684139488 -111.5534932871994 -40.61498903797009
-18.41719277237211 7.048565299675655 -11.527740001190832,-11.425286740967815 9.46089090198739 -5.248815194700365,-12.354332105938896 5.984547555198881 -5.619301936253109,26.872068277319666 -4.037500496737023 15.354481126634173,30.31422127411425 2.362333044076141 10.057649793398891,-3.874267866104935 70.19359103868725 -39.14816265410391,28.876966931865457 107.17005377618466 38.481663905325114,28.41852015071006 14.273031205414533 10.877336377583928,-2.8101817899900645 -66.75331368833352 41.685507215604424,28.57476027032813 -109.66254239070004 -39.77001929069637
-18.546076634412398 7.326621536154451 -11.948171902276602,-11.460237067384975 9.585113548149344 -5.352198012277188,-12.225599876983779 6.027385425526382 -6.450912824045648,26.782903058941777 -4.604675717942487 15.522767502615563,30.339234312831557 2.5613284408354984 10.220562394051084,-3.7388856194255093 70.66623835453217 -39.09317185979993,28.911959119469536 106.94414823667226 38.37977250707668,28.42700939788942 14.438651352619294 10.99463953212395,-3.030015513843703 -66.20035858090586 40.88778565505801,28.5429668308865 -109.78454549299188 -39.84649314988535
-19.02097951182351 7.672614843810458 -12.425367156692497,-11.783224157346512 9.66022934312089 -5.223737937413415,-12.360728746688908 6.016223394978857 -7.947213391010771,27.145661100182366 -5.578664553198064 15.602763767528925,30.480694019723412 2.7433451686049186 10.276288611445802,-4.0765802371286854 70.94154129669221 -38.52613050915447,28.80304063919774 107.82757459394288 38.82170467867341,28.54861183399572 14.63847759741999 11.173153928355156,-3.736729148126493 -66.16360419928958 39.61056206975809,28.24095023856878 -111.49870266600433 -40.64736933433744
-19.511736201453306 8.08419564645969 -12.760889344068682,-12.201067558386075 9.89092356842744 -5.101436061428199,-12.626800458991948 5.999368955188774 -9.348362871814999,27.608093247481037 -6.518237418609569 15.673674161903632,30.528404891745765 2.812234825428233 10.228490530816154,-4.711013168299261 70.88450403049059 -37.909728531331524,28.639740402637095 109.09915163852824 39.45153188867204,28.548280088644574 14.782820974944366 11.488126604822918,-4.595829815555889 -66.67617823550961 38.68157940587464,27.877635740981095 -113.5644728521435 -41.60058355289474
