index,上半身_x,上半身_y,上半身_z,下半身_x,下半身_y,下半身_z,首_x,首_y,首_z,頭_x,頭_y,頭_z,左肩_x,左肩_y,左肩_z,左腕_x,左腕_y,左腕_z,左ひじ_x,左ひじ_y,左ひじ_z,右肩_x,右肩_y,右肩_z,右腕_x,右腕_y,右腕_z,右ひじ_x,右ひじ_y,右ひじ_z
0.0,-27.198402404785156,-14.47043228149414,-8.494271278381348,-18.297712326049805,-9.79866886138916,-8.612394332885742,-22.328935623168945,5.239755630493164,5.043605804443359,34.21033477783203,2.2552714347839355,12.279032707214355,6.300917625427246,0.6622305512428284,-0.19441796839237213,1.523809552192688,-35.899356842041016,-51.35148620605469,21.440916061401367,42.797157287597656,8.485886573791504,6.203460216522217,12.552976608276367,1.1358678340911865,0.9042230248451233,-4.893751621246338,44.74132537841797,21.490285873413086,-42.93175506591797,-8.53514289855957
1.0,-27.5425968170166,-14.707164764404297,-8.410321235656738,-18.974483489990234,-9.99185848236084,-8.716653823852539,-22.678524017333984,5.2819294929504395,5.203934669494629,35.0000114440918,2.3395297527313232,12.186493873596191,6.1869120597839355,0.7147743701934814,-0.17865590751171112,1.2941842079162598,-36.45210647583008,-51.70920181274414,21.692739486694336,43.48743438720703,8.739606857299805,6.094603538513184,12.588811874389648,1.0715121030807495,0.9348822832107544,-4.757635116577148,44.864158630371094,21.560176849365234,-43.122802734375,-8.605250358581543
2.0,-27.825477600097656,-15.036880493164062,-8.178208351135254,-19.773149490356445,-10.187312126159668,-8.836543083190918,-23.304710388183594,5.325414180755615,5.489076614379883,36.30628204345703,2.4128222465515137,11.947447776794434,6.067545413970947,0.7213316559791565,-0.22260311245918274,0.9380608797073364,-36.791297912597656,-51.9516716003418,21.868017196655273,43.974266052246094,8.920248031616211,5.98936128616333,12.586787223815918,0.9793238639831543,1.0094677209854126,-4.355055332183838,44.885398864746094,21.605764389038086,-43.247928619384766,-8.6512451171875
3.0,-28.040313720703125,-15.292490005493164,-8.055061340332031,-20.215009689331055,-10.371487617492676,-8.86326789855957,-23.505525588989258,5.3419694900512695,5.614123344421387,36.812191009521484,2.4879510402679443,11.826269149780273,5.990326404571533,0.7453238368034363,-0.2733907997608185,0.7973333597183228,-37.08377456665039,-52.11754608154297,21.991012573242188,44.318756103515625,9.048892974853516,5.925102710723877,12.607003211975098,0.9045724272727966,1.0843766927719116,-4.1403961181640625,44.94388961791992,21.595258712768555,-43.21908950805664,-8.640667915344238
4.0,-28.180625915527344,-15.333325386047363,-8.244872093200684,-19.9787654876709,-10.493233680725098,-8.748747825622559,-22.815282821655273,5.345370769500732,5.412060737609863,35.65436553955078,2.574983596801758,12.040874481201172,5.959501266479492,0.8370455503463745,-0.2523823380470276,1.07049560546875,-37.43225860595703,-52.24815368652344,22.08601951599121,44.58685302734375,9.149526596069336,5.890641689300537,12.698009490966797,0.9188979268074036,1.1614586114883423,-4.349284648895264,45.176021575927734,21.544092178344727,-43.078880310058594,-8.589133262634277
5.0,-28.241178512573242,-15.354817390441895,-8.495650291442871,-19.557537078857422,-10.617359161376953,-8.581263542175293,-21.8350772857666,5.3481292724609375,5.15376091003418,33.98328399658203,2.6753900051116943,12.293594360351562,5.860968589782715,0.9402003288269043,-0.21843326091766357,1.4555656909942627,-37.79139709472656,-52.36709213256836,22.175350189208984,44.84015655517578,9.244915962219238,5.787936210632324,12.797346115112305,0.9251766800880432,1.3162522315979004,-4.744642734527588,45.36610412597656,21.518310546875,-43.00822067260742,-8.563165664672852
6.0,-28.25919532775879,-15.442509651184082,-8.673032760620117,-19.315998077392578,-10.75944709777832,-8.414098739624023,-21.146623611450195,5.346574306488037,4.9774169921875,32.84964370727539,2.7639946937561035,12.45099925994873,5.796992301940918,1.0179452896118164,-0.25031429529190063,1.6719756126403809,-38.043148040771484,-52.384620666503906,22.246606826782227,45.0433464050293,9.321749687194824,5.727320671081543,12.88473892211914,0.9239888787269592,1.3683371543884277,-5.278954029083252,45.399322509765625,21.516437530517578,-43.00319290161133,-8.561348915100098
7.0,-28.311237335205078,-15.408455848693848,-9.083456993103027,-19.459983825683594,-10.90276050567627,-8.220982551574707,-21.272884368896484,5.148159980773926,4.828917026519775,32.99189758300781,2.917210340499878,12.76428508758545,5.86693000793457,1.1352274417877197,-0.4537692368030548,1.876551866531372,-38.65552520751953,-52.072608947753906,22.301355361938477,45.20008850097656,9.3811616897583,5.823933124542236,13.036614418029785,0.8684180378913879,1.2142794132232666,-6.170355796813965,45.5361328125,21.4835262298584,-42.91324234008789,-8.528350830078125
8.0,-28.305416107177734,-15.241326332092285,-9.679304122924805,-19.770666122436523,-11.02956771850586,-8.036194801330566,-21.76567268371582,4.818325519561768,4.714025020599365,33.79671096801758,3.175490617752075,13.202430725097656,6.021888256072998,1.2784348726272583,-0.728972315788269,2.043400764465332,-39.51974105834961,-51.548458099365234,22.334228515625,45.29448318481445,9.416988372802734,6.01739501953125,13.21931266784668,0.7721887826919556,0.9170659184455872,-7.27251672744751,45.81049346923828,21.419885635375977,-42.73991775512695,-8.464988708496094
9.0,-28.57274627685547,-15.702400207519531,-9.031010627746582,-20.02639389038086,-11.254220008850098,-7.981022357940674,-21.91779136657715,4.969016075134277,5.034631729125977,34.07098388671875,3.0974199771881104,12.657369613647461,5.9656267166137695,1.1558682918548584,-0.7983775734901428,1.6023390293121338,-38.703765869140625,-51.74245071411133,22.349817276000977,45.3393440246582,9.434056282043457,5.972641468048096,13.105354309082031,0.7309600710868835,1.0389498472213745,-7.321892738342285,45.25489807128906,21.65376091003418,-43.3800163269043,-8.699955940246582
10.0,-28.689001083374023,-15.75863265991211,-9.01912784576416,-20.472211837768555,-11.361783027648926,-7.888869285583496,-22.491771697998047,4.831079483032227,5.185993194580078,35.12296676635742,3.220547676086426,12.606145858764648,6.022276878356934,1.1548173427581787,-0.9583396911621094,1.3130104541778564,-38.78054428100586,-51.535186767578125,22.390949249267578,45.45786666870117,9.47914981842041,6.057143688201904,13.115263938903809,0.6235984563827515,0.8575368523597717,-7.768284320831299,45.25408935546875,21.74334144592285,-43.627525329589844,-8.791491508483887
11.0,-28.842639923095703,-16.102659225463867,-8.430272102355957,-20.712921142578125,-11.497091293334961,-7.80351448059082,-22.792461395263672,4.914852619171143,5.433534145355225,35.702457427978516,3.1395554542541504,12.025397300720215,5.9925127029418945,1.02448570728302,-1.0249059200286865,0.7717680931091309,-38.15248489379883,-51.60344696044922,22.424076080322266,45.55344009399414,9.515575408935547,6.0437517166137695,12.979381561279297,0.5324418544769287,0.9369504451751709,-7.306243419647217,44.89432144165039,21.824596405029297,-43.8531494140625,-8.8751802444458
