index,上半身_x,上半身_y,上半身_z,下半身_x,下半身_y,下半身_z,首_x,首_y,首_z,頭_x,頭_y,頭_z,左肩_x,左肩_y,左肩_z,左腕_x,左腕_y,左腕_z,左ひじ_x,左ひじ_y,左ひじ_z,右肩_x,右肩_y,右肩_z,右腕_x,右腕_y,右腕_z,右ひじ_x,右ひじ_y,右ひじ_z
0.0,-1.265573263168335,-12.101799964904785,-2.382333278656006,-0.6081434488296509,-11.325544357299805,4.8431596755981445,-13.212689399719238,4.0068583488464355,7.17921781539917,25.61370849609375,2.9578733444213867,3.5183238983154297,2.5952322483062744,-1.8717929124832153,7.30969762802124,70.50045013427734,-36.508174896240234,-41.911598205566406,29.89049530029297,83.94026947021484,27.00108528137207,2.710357189178467,5.538385391235352,-9.089412689208984,50.83453369140625,46.859222412109375,49.40126419067383,25.70240592956543,-123.62483978271484,-46.11791229248047
1.0,-1.270554780960083,-11.957015991210938,-2.328852891921997,-0.5935422778129578,-11.102307319641113,4.69871711730957,-13.465533256530762,4.079826831817627,7.213808536529541,26.097702026367188,2.8763720989227295,3.7217888832092285,2.65053129196167,-1.9058634042739868,7.4015398025512695,70.35578155517578,-38.7591552734375,-44.46981430053711,29.907257080078125,84.31794738769531,27.18935203552246,2.7498185634613037,5.520335674285889,-8.933249473571777,51.03091812133789,47.32717514038086,49.47431182861328,25.780742645263672,-123.32195281982422,-45.986392974853516
2.0,-1.2515802383422852,-11.763298988342285,-2.3458163738250732,-0.6450799107551575,-10.917545318603516,4.675743103027344,-13.498745918273926,4.059500217437744,7.192259311676025,26.36665916442871,2.90438175201416,3.8967928886413574,2.8535244464874268,-1.8971158266067505,7.51876974105835,70.98763275146484,-39.40888595581055,-45.69863510131836,29.894079208374023,84.0187759399414,27.04020881652832,2.944669485092163,5.492703437805176,-8.931832313537598,51.57276916503906,47.07170486450195,49.07085037231445,26.013463973999023,-122.40507507324219,-45.58594512939453
3.0,-1.2471086978912354,-11.682232856750488,-2.3441944122314453,-0.6897004246711731,-10.849137306213379,4.719675064086914,-13.474209785461426,3.998453378677368,7.184412956237793,26.529027938842773,2.9740960597991943,3.9840610027313232,3.006138324737549,-1.8890327215194702,7.552356243133545,71.29469299316406,-39.72450256347656,-46.4220085144043,29.894973754882812,84.03797912597656,27.049789428710938,3.099987506866455,5.4655022621154785,-9.014547348022461,51.985774993896484,46.90926742553711,48.869544982910156,26.186248779296875,-121.70670318603516,-45.2786865234375
4.0,-1.2633476257324219,-11.702672004699707,-2.3082427978515625,-0.6805683970451355,-10.867691993713379,4.763933181762695,-13.483952522277832,3.9685494899749756,7.179322719573975,26.61785316467285,2.987617015838623,3.9817612171173096,3.0904793739318848,-1.903962254524231,7.502792835235596,70.72209167480469,-40.23947525024414,-47.163944244384766,29.92935562133789,84.8567886352539,27.45807647705078,3.1893084049224854,5.454034805297852,-9.04188346862793,51.81761932373047,47.00752639770508,49.0766716003418,26.1536865234375,-121.83953857421875,-45.3372802734375
5.0,-1.274043321609497,-11.758671760559082,-2.268632411956787,-0.6509432792663574,-10.914322853088379,4.79659366607666,-13.489303588867188,3.9542574882507324,7.181196212768555,26.602052688598633,2.982006788253784,3.9375431537628174,3.0971896648406982,-1.928640365600586,7.414384841918945,69.69921875,-40.818885803222656,-47.801231384277344,29.97122573852539,86.0776138305664,28.067607879638672,3.201369524002075,5.4554219245910645,-9.031228065490723,51.35356521606445,47.26142883300781,49.487205505371094,26.009492874145508,-122.42098236083984,-45.5929069519043
6.0,-1.2632476091384888,-11.793242454528809,-2.2433300018310547,-0.6358465552330017,-10.941468238830566,4.816707134246826,-13.457382202148438,3.9027111530303955,7.195021152496338,26.512434005737305,3.0249085426330566,3.9075632095336914,3.0518901348114014,-1.9498982429504395,7.310636043548584,68.79773712158203,-41.2906494140625,-48.233970642089844,29.998991012573242,87.16372680664062,28.610445022583008,3.1647799015045166,5.455746173858643,-9.05770492553711,50.992794036865234,47.49960708618164,49.851810455322266,25.886980056762695,-122.90656280517578,-45.80537796020508
7.0,-1.203231930732727,-11.814495086669922,-2.251657009124756,-0.6206412315368652,-10.954852104187012,4.8398637771606445,-13.394551277160645,3.8123295307159424,7.236501693725586,26.375322341918945,3.132033586502075,3.8894383907318115,2.9766435623168945,-1.9611645936965942,7.1905517578125,68.1482925415039,-41.42274856567383,-48.2600212097168,30.014320373535156,88.00324249267578,29.03028106689453,3.102177143096924,5.459217548370361,-9.128791809082031,50.767051696777344,47.63063049316406,50.077083587646484,25.811616897583008,-123.2017822265625,-45.93407440185547
8.0,-1.0872656106948853,-11.821255683898926,-2.3008017539978027,-0.6103866100311279,-10.96245288848877,4.880964279174805,-13.333643913269043,3.6804940700531006,7.287110328674316,26.26897430419922,3.288923978805542,3.880014419555664,2.918745517730713,-1.9605541229248047,7.051505088806152,67.84556579589844,-41.11740493774414,-47.869659423828125,30.021024703979492,88.5114974975586,29.28453254699707,3.060948371887207,5.466977596282959,-9.245102882385254,50.63008499145508,47.54618453979492,50.12180709838867,25.779277801513672,-123.32759094238281,-45.988861083984375
9.0,-0.9477683901786804,-11.815258026123047,-2.36997127532959,-0.6038144826889038,-10.963385581970215,4.930582046508789,-13.281590461730957,3.539614677429199,7.313624858856201,26.191326141357422,3.441405773162842,3.882227897644043,2.88486647605896,-1.9537124633789062,6.915728569030762,67.78884887695312,-40.548831939697266,-47.269718170166016,30.023496627807617,88.74848175048828,29.40313148498535,3.044074296951294,5.476990222930908,-9.370301246643066,50.55978012084961,47.274478912353516,50.00661849975586,25.771860122680664,-123.35633087158203,-46.00135040283203
