-14.7 3.1 -16.8,-10.1 7.2 -8.3,-12.8 6.1 -14.7,23.7 -9.9 21.0,25.2 3.7 8.0,-4.4 61.4 -38.1,29.3 103.9 36.9,23.5 15.7 9.9,-3.2 -60.3 42.1,28.8 -107.6 -38.8
-15.323880480546116 8.059464620890695 -16.989570438684588,-9.009710114798294 9.586199915754348 -8.314040581738391,-12.735304838479882 5.943025322137489 -15.790289866249713,23.16638984137768 -11.336835052287448 23.432339765526844,23.534474924855346 3.32587026330274 9.577760080339582,-3.977224884256941 62.128191674805514 -36.86677599972218,29.429390089298998 102.17178905883111 36.03589453257422,21.464859886580673 15.249640257789448 11.683380137247894,-5.265230288112122 -53.24270965867629 41.87582470083469,28.624470067245838 -109.03432959250476 -39.47904979033707
-15.893211769980109 9.874150962152939 -17.330799031766116,-8.622978476079817 10.495540565210474 -8.637438001688155,-12.68273717452289 6.065066811373483 -16.177021540614472,22.95119817046584 -11.942753699794723 24.254375666096138,22.83633119065663 3.333860475655056 10.266988352734389,-3.727296069004802 63.37505945613518 -36.92548330583574,29.534525856850397 100.8923286988468 35.39616434664102,20.59118141703879 15.22688877061725 12.508485948011167,-6.256955170419075 -49.97302773492079 41.60007461891941,28.60663903669919 -109.29502433281775 -39.59402631667236
-16.43250303705271 9.85149911969595 -17.76209304690829,-8.647366607462324 10.54221991956902 -9.143285412987904,-12.637099844768855 6.3510868856096705 -16.15263346385136,22.92193550899249 -12.063639363666498 24.13522605446585,22.70290425610725 3.5658820331648085 10.437692176530428,-3.5778416802643283 64.93022590260945 -37.74173897737357,29.625801189997638 99.87157813365052 34.88578905493964,20.39539501547461 15.454729898498982 12.774645643821245,-6.622750912980727 -48.91256879870168 41.293152250891396,28.681192651334328 -108.86860488417939 -39.37872638664239
-16.807218662132637 9.09302417833381 -18.107857642952457,-8.830940302627706 10.227216947805614 -9.579850096436308,-12.607162078599332 6.622500409270493 -15.969059770813177,22.976053462807165 -11.95441673521192 23.669547427505794,22.83532028827478 3.822820046562157 10.350676195510223,-3.5112217415065454 66.17033975741529 -38.63329088177538,29.685676748572163 99.24387151957849 34.57193574754909,20.528797802502584 15.719399046230961 12.739774091295343,-6.632292644687564 -49.04432385178048 41.06039439323118,28.771992747247374 -108.28514864057327 -39.09086383236119
-16.884572582785136 8.851653300705308 -18.184497120769766,-8.887859648795262 10.122524045466632 -9.679686454390108,-12.601183485889534 6.686826983308566 -15.912140299390792,22.995723961914067 -11.90981062683648 23.529702547191217,22.888356908778963 3.8867891486729773 10.309237576682383,-3.5017190641057017 66.44455637635505 -38.854373034679995,29.6976323891822 99.12360062889134 34.51180032308133,20.587097529091128 15.786178332968566 12.707480677941094,-6.6063348367026595 -49.17068865662222 41.0101190763399,28.79518912636454 -108.13191923397831 -39.01565420050128
-16.62212675871382 9.532346676550526 -17.93305371584119,-8.725755096291374 10.413066418363412 -9.35680056060638,-12.621793458390334 6.482107207580477 -16.074244645675716,22.94283621147677 -12.025192100057103 23.932910790927412,22.750309747797015 3.6875701700783403 10.411562771470388,-3.540887555705288 65.54389424601543 -38.164662606445326,29.656409900813422 99.54682786298216 34.72341397449656,20.43944109625979 15.57940414803337 12.776138178262961,-6.648880811254092 -48.90361606134418 41.17706337028243,28.72374581263355 -108.59835480436874 -39.24509434815639
-16.138211081826523 10.031167083316019 -17.516354076268716,-8.59652395910323 10.59501051207117 -8.848078938414876,-12.661602811858579 6.17863459248123 -16.203475757957253,22.92113068451187 -12.041196279189647 24.286495989300867,22.725003259266686 3.4177055238232796 10.39085818151807,-3.651013821448862 64.04563612498582 -37.22323720705982,29.5767908866954 100.41023403317502 35.1551170637441,20.441541084020944 15.306438734746449 12.678915291411256,-6.478240510765713 -49.2956086414534 41.46503221664001,28.63172373038808 -109.16599109148987 -39.52736210404993
-15.567745084993533 9.095271809218659 -17.119688976568426,-8.78606344428679 10.096629562160476 -8.422947429440496,-12.712172304029497 5.970003667579989 -16.01393671094945,23.048304075930382 -11.663621450738344 23.917713130076745,23.157079926478875 3.295975923839914 9.944549843284001,-3.8572150810900845 62.606739295068934 -36.77901469654351,29.4756573065213 101.59537087810737 35.747685413180974,20.9968528076596 15.20287636566385 12.113307018453844,-5.775163027363966 -51.539869828507484 41.76449812757638,28.603259073817036 -109.24594360670524 -39.576422050137296
-15.048193325211106 6.451964769284524 -16.869558057200518,-9.360472442450307 8.804961413219948 -8.240924657441717,-12.762505196112603 5.955239644224818 -15.439528488482662,23.34365205661923 -10.85384348803748 22.658589689654498,24.093433748292274 3.415923872085458 9.042252810093714,-4.1347735853862355 61.68094909017766 -37.156637675049815,29.375001089281387 102.87135414948652 36.38567691958776,22.152301041943808 15.36501618075838 11.06816345256812,-4.544977442015758 -55.67824395110297 41.990219416651875,28.671370323973072 -108.62631806435195 -39.28770534166792
-14.722232298301128 3.835785962078055 -16.77206296669068,-9.935726260844824 7.546545053732454 -8.236450949207306,-12.796367268343074 6.0396998245582125 -14.864274823572957,23.624955462158148 -10.09663398950689 21.374873534272268,24.971201483756648 3.6146173275885536 8.210996302963904,-4.3569148669919215 61.30585438022838 -37.81187811902813,29.30727883779983 103.77704265186381 36.8385211451956,23.22467392061798 15.603895698185536 10.128998939002324,-3.4577181438274454 -59.39471430627073 42.10668913664594,28.764392320187756 -107.86725603325155 -38.92826738266056
-14.732722464899382 3.2227713218865377 -16.81846673534819,-10.073628771155516 7.2609062986860575 -8.316473358629146,-12.796931726979974 6.105207620600018 -14.72637078750553,23.68577627621798 -9.93963152049654 21.05677048501433,25.154273648689635 3.698078873146507 8.044728118264494,-4.384709471131206 61.46770133184323 -38.09530930904572,29.306131102859588 103.82443309473999 36.86221662092648,23.44308251433383 15.696047311912896 9.95288989967978,-3.263085301910475 -60.09047667013006 42.0846357501358,28.798004857925136 -107.62212792305236 -38.81004810735288
-15.09544732179677 5.392052671264772 -16.973003370816322,-9.599951521214507 8.3141833961069 -8.406463074329432,-12.761003716112358 6.083829009989877 -15.20004513024891,23.44709511296806 -10.589231769042847 22.10278693376166,24.40238839493535 3.5726003374264708 8.764329736943148,-4.174700515404774 62.044504175118746 -37.690240256997235,29.377951269157354 102.89804224126719 36.399021678723024,22.518912823370965 15.536474097478827 10.778400548974972,-4.228613227458524 -56.822559761771416 41.93554871970279,28.733446309366766 -108.17994776264344 -39.07191020325846
-15.525806769835613 8.293528664065704 -17.136015875022355,-8.96443091744157 9.71714526487601 -8.47567849886569,-12.717611454580394 6.0263929788146715 -15.83556494572192,23.13108381165846 -11.44520301033015 23.51277449746869,23.410985615705652 3.381489257735014 9.70883121728822,-3.9091084843982578 62.65843928168859 -37.06649825828542,29.46472606985555 101.7629470276858 35.83147420331564,21.303548792674388 15.300219259395451 11.854819011810308,-5.482096109909021 -52.5620380773545 41.76726806105154,28.63964607649729 -108.96846663798662 -39.44359763035078
-15.696037760764284 9.470124742030398 -17.198693442934037,-8.706559717636228 10.285601576031642 -8.49971955017021,-12.70041439039353 6.000836263175021 -16.09344143249968,23.00323656541938 -11.791294395093685 24.085385080650656,23.010089965952925 3.3021664045317225 10.090427113140855,-3.8026037627516693 62.89501400170084 -36.80711668111737,29.49918540422253 101.3108020233231 35.60540081997223,20.812340842195084 15.202627730421046 12.289153491745886,-5.98741317716067 -50.84291243901071 41.701467299242495,28.601030707779824 -109.29151104076762 -39.595986375017795
