-0.9 -11.3 -2.6,-1.1 -10.3 4.3,-12.5 3.9 6.7,24.8 3.0 4.5,2.2 -1.8 8.1,74.1 -42.1 -47.7,29.9 83.4 26.7,2.3 5.4 -9.3,52.6 46.4 49.0,25.9 -122.9 -45.8
-0.997688271287106 -10.625334629929439 -2.5118544363661157,-1.1477977247718816 -9.97001463542336 4.4111154844447,-12.898696393042911 3.8871335235870497 6.413801053968983,25.39201164176878 2.679400227572879 4.769958218385695,3.097773064068141 -1.8493571681076513 8.205231690684617,72.98797697832097 -40.41081657311818 -48.35945140265931,29.99193329049367 86.39803852398714 28.176285188932948,3.156580916808975 5.385824500585366 -8.997544658731645,53.09876429536958 44.66320305404868 47.24244965704722,26.085481227778114 -122.10098451547475 -45.46900691769617
-0.9849327606858034 -10.556651645306061 -2.4843943573649656,-1.1801412355191383 -10.010348887778257 4.511610075494452,-12.966314801884728 3.8916093935224674 6.2944982035173345,25.477444636107016 2.5617219300783862 4.812830108530014,3.3309667307954602 -1.8428891809665806 8.195575291673647,72.59756642344573 -39.21121835172472 -47.868242304432826,30.018727186378783 87.3930736090813 28.67669472562965,3.3948065117341644 5.388317678874373 -8.9559624993185,53.34368186338922 44.267983241372775 46.735268267516915,26.177322260379228 -121.74144851887311 -45.31904520898584
-0.9051025641440723 -10.877076491144004 -2.4985078369607114,-1.1993283377174655 -10.282360934701043 4.596189210956674,-12.811894505210386 3.8997370921001133 6.297382469079274,25.21947809185615 2.595166003238648 4.707903512282773,3.1188409791594234 -1.8025746778992304 8.106094251248457,72.68694085889487 -38.43008851170592 -46.67212497455358,30.001664894804378 87.04216587620292 28.519884274715988,3.2166386508290374 5.399353554486495 -9.089966836496627,53.40090562116761 44.759294416230254 47.06787367334538,26.200228197506878 -121.69615986547454 -45.29851494627135
-0.8015667776098943 -11.369734612457401 -2.5350829491175135,-1.2076568368425589 -10.647408953828066 4.659558328638786,-12.544474781704835 3.8978261016138496 6.3777448710890265,24.78129111785763 2.727933342775792 4.534466271493786,2.680655788137497 -1.750392298228044 7.9718520176904,73.01427280818912 -37.99631022894812 -45.21685168225459,29.962029622919523 86.00237594627252 28.024509500817864,2.824039200147064 5.410806147041208 -9.314270985002079,53.33658848581346 45.682090432879114 47.8296837164689,26.178904138864635 -121.83988641055862 -45.35581620195503
-0.7176944970312501 -11.817751454260396 -2.5750077677995304,-1.2074245383701132 -10.966851122795672 4.696422866348206,-12.273094910053011 3.8721859043575386 6.490876429980817,24.326062822952892 2.908224844411944 4.371806228012869,2.235671136707147 -1.708320681275464 7.827912039280843,73.33773479484913 -37.838766679337645 -43.94817469676887,29.921104577873283 84.93076444021052 27.50922606856118,2.418970025741717 5.414549476157986 -9.543588259570917,53.216883374435454 46.58132514557737 48.610116238823785,26.138055184156052 -122.04739600940478 -45.439349048439205
-0.6968548183561205 -12.004252461567116 -2.599170366970922,-1.2009292477758242 -11.102045619240208 4.701488261892352,-12.10679416893986 3.8091259826250417 6.592068166188867,24.016972315983374 3.084241403869232 4.299211223689837,2.003147003845838 -1.6983384663639325 7.709337764301141,73.41549934239552 -37.88634103876083 -43.3118462873294,29.900172966814694 84.48439197893737 27.292689642571823,2.2033929936664647 5.4024575614563055 -9.6926319749392,53.10794320414226 47.00195240858297 48.99858908234631,26.102386433084668 -122.1934565172925 -45.4975135581262
-0.7688801124034542 -11.772434909335827 -2.592095590404953,-1.1888079466885513 -10.953496635581809 4.675831063922168,-12.131773614373358 3.702306876154387 6.643483464780684,23.98830443351058 3.208548120318132 4.369192125410838,2.1481801961286844 -1.7367155000097196 7.643659129776181,73.06858082887732 -38.065889120224504 -43.632432147133244,29.915311853396883 85.1379954159777 27.605714863619756,2.3299768372099106 5.369733504952427 -9.694506955117417,53.05863766947319 46.60410879347219 48.68791897799407,26.09146781282602 -122.18228946407457 -45.49056285546828
-0.8898101542124243 -11.292964956066719 -2.558133363784234,-1.1626439865849028 -10.635104589531007 4.655258585188697,-12.309736558759122 3.5854618605455464 6.644748954008608,24.216832994151844 3.257500625564969 4.4882907809038155,2.5406084342633335 -1.8086013514152768 7.6173387284764456,72.46056271940563 -38.29321499652223 -44.57387496535566,29.954218110428794 86.37241212472021 28.200269597904562,2.6826791954953935 5.329728197679666 -9.582575449507475,53.02362063028978 45.67582510908049 47.93457984477401,26.096875942941946 -122.07867686090871 -45.44336447278509
-0.9906631677271387 -10.847546721657128 -2.5083558902057543,-1.1109508192170436 -10.333128168597293 4.687354626033895,-12.560171690937246 3.505912051713541 6.608194277158275,24.625923070811226 3.2155214315906524 4.513553946518394,2.950153157300085 -1.8885933439828926 7.6029140616135455,71.87118660884613 -38.48037532270852 -45.57611376149431,29.994965471869335 87.33146861231717 28.665954621675837,3.054343303803724 5.301946072572863 -9.424194937867165,52.92559929521512 44.71803818244021 47.18617015805056,26.10069548828832 -122.00184347495521 -45.402695358793025
-1.0158336844160634 -10.672246552108062 -2.4523105115698325,-1.0278076995699934 -10.205001552359459 4.806882160609964,-12.806596858066078 3.5034039462685045 6.544443784895371,25.13127573559314 3.073733183568298 4.334185111891196,3.180902539522542 -1.953359813370276 7.581108694451892,71.55086402872924 -38.544088355379245 -46.14826745411889,30.018146748735052 87.3072351481277 28.662827580533246,3.268653858621274 5.301132715932845 -9.280535235126816,52.715345114626636 44.16129967077365 46.82314005306693,26.089424909130507 -122.04481501207609 -45.40546597254556
