-24.1 -3.4 -8.8,-13.2 -5.3 1.9,-13.6 1.9 -9.2,27.9 -2.6 17.4,29.0 -1.0 1.8,-9.2 75.5 -37.1,27.9 113.4 41.5,28.7 10.7 1.2,-3.6 -61.5 37.9,28.5 -109.8 -39.8
-20.834013499981506 2.1838232264260014 -8.29209821321983,-7.527879354488151 2.4806470099193985 -1.817589985273287,-11.483268274387612 5.309908833047532 0.6982608663906839,24.739385949005527 0.38837861329849627 13.927643080258022,31.439890707823157 0.7894008882408208 7.588527280100908,-5.0179326962149045 76.36344920365353 -41.60939574803901,28.913490436287898 107.00398272546268 38.45494937911661,30.140442091897643 12.591525564837639 7.5942699608412125,-3.752085446049658 -67.1616094967541 41.08333481953248,28.917170061281773 -107.44852092863384 -38.62642141002421
-21.369880923675048 2.4151169966187753 -8.39025016971549,-8.061518115383592 2.5033135726624223 -1.8287088888467053,-11.558100163791261 5.304085330517024 0.2618580506207175,24.55206095311667 0.07960825580265955 14.373689605466867,30.877470074979424 0.7079532094097459 7.546205745602149,-4.578038682120908 75.61329138991384 -41.12001171811861,28.95843374980432 106.69573103241699 38.320075726537915,29.561701699280196 12.52989829693624 7.6196165436395376,-4.170312839511533 -65.57202908956003 40.75425662852239,29.040076352410374 -106.35724534962392 -38.095406722747406
-22.00102189374955 2.815936361567117 -8.617352213679384,-8.762391224227798 2.5238909121178934 -1.704846779661033,-11.661682538970249 5.1907776196862905 -0.5792673662513091,24.41063648712384 -0.40097575955302595 15.038662291174752,30.145094046358995 0.6009058779311749 7.469968855709399,-4.1320214012469 74.56935333701367 -40.26081051363576,28.977427096161225 106.5720558621958 38.27664164497455,28.815920004638073 12.430847102676625 7.57515931056151,-4.609869735789668 -63.37416438718279 40.35370811136002,29.1575436181789 -105.30172557473524 -37.58507483200158
-22.050665180020125 2.8697541062990704 -8.819139716551554,-8.97818448473649 2.235157603983191 -1.4630105547896701,-11.44162022589888 4.964503477885819 -1.3865067563428393,24.027513962848662 -0.7205401799201973 15.542536149002038,29.539688103470368 0.4852813717724968 7.262783200557399,-3.6311117264757327 74.10221662455831 -39.78665399464857,29.005245164232072 106.35816874026857 38.179618278011105,28.24925827709984 12.276517458761978 7.231325784686815,-4.801490065941044 -61.64061400529345 40.33433941226497,29.198554615998916 -104.9079207106704 -37.406236973174636
-21.18455700584534 2.282608450634417 -8.896084073773304,-8.379165651916828 1.4795075381978782 -1.1333067293306849,-10.725329919018428 4.634687420491975 -1.8961332902533277,23.260243515453723 -0.6972380187428171 15.670551582674296,29.23277629642022 0.3701363501353352 6.868210086988923,-3.112428596474905 74.66299052307387 -40.10964520198407,29.05329419839826 105.96396163716905 37.97837751810726,28.05806394162869 12.062116345757374 6.481855410364098,-4.62152359128293 -61.02488568576865 40.921216557439465,29.13175554194933 -105.4575403731457 -37.69816698834283
-20.00599836583705 1.3697541175122634 -8.898482682150002,-7.518588864169583 0.5088686306881482 -0.7816987046621554,-9.832417757322927 4.251557382485467 -2.3231147653113036,22.36368314485948 -0.5625089494339668 15.66032114597355,29.05262802035834 0.24272306104892027 6.340928576412411,-2.8481877750140536 75.55458510705331 -40.70367172778276,29.06901524534506 105.80484246323441 37.880689396568215,28.028606971822942 11.818603302641346 5.558022782171842,-4.34490652476647 -61.033332056928856 41.71645169584179,29.03436120892606 -106.28999839283924 -38.13059855488741
-19.277158155379176 0.5496838456289018 -8.902021917463863,-7.099333006071856 -0.3554366272417149 -0.4802203599322485,-9.165899126083197 3.872257863676615 -2.9635278693707687,21.660021769207983 -0.6178201697854588 15.826114153701782,28.76934490734106 0.086599956460369 5.7544542728595145,-3.1503964597395377 75.88537467379254 -40.88364132875652,28.989018462064106 106.38182089009531 38.138082160775056,27.877666033150334 11.582995369323022 4.748295566866025,-4.314108898435453 -60.97788969349483 42.21658507614991,29.0019787826854 -106.5850707160471 -38.293718262990666
-19.47752474984066 0.07575646258138388 -8.940183805489218,-7.567405735999074 -0.9173047427216959 -0.27518135523621934,-9.002697559973026 3.5483663880364826 -3.953971147546644,21.37198907893959 -1.0302552836215861 16.353106942262084,28.246827741914025 -0.10551421476966633 5.169976275108665,-4.1354157020864495 75.18021066983086 -40.24738697167192,28.79101463646011 107.88591878955879 38.84981016549577,27.43466229455027 11.379498750034555 4.233927031522994,-4.734068284427951 -60.42994229587183 42.070725521335504,29.08511874619388 -105.89809722160439 -37.96343937798365
-20.187683104557486 -0.3237829877586777 -8.912243619584833,-8.551982962729934 -1.3788194978298822 -0.13109021176128577,-9.218773712552354 3.3137579027158814 -4.923914291783942,21.40604168020089 -1.5395678749714046 17.015969599594186,27.647251766885404 -0.311771628230306 4.609486294977964,-5.297466089278698 74.2883114765098 -39.292423139794074,28.583411562695286 109.52241945683943 39.630907901871446,26.88721186392157 11.191582126652802 3.855236478106459,-5.372379071247546 -59.78589648639507 41.41313878423174,29.19088742287526 -104.97868368039437 -37.50627243547875
-20.809946557725556 -1.0248295677555248 -8.690861090596929,-9.520245102684973 -2.021032867716884 0.0037675383931280284,-9.610567781114748 3.198796093846417 -5.4022541132875705,21.605911571294946 -1.8007637423472347 17.507960062110435,27.191946568629685 -0.5045476185953464 4.087202257357747,-6.007386417736344 74.32154231909243 -38.69468952651967,28.50053655466246 110.30111632560508 40.0003802393474,26.493968686207893 10.994635121077849 3.384929196366546,-5.9099009952411015 -59.60577822742498 40.47430906338777,29.197951383553686 -104.81328170856563 -37.40585481431479
-20.92664924072025 -2.227936464433449 -8.207794836624762,-10.075534924518259 -2.994662767887632 0.17035263245201854,-9.990114007283399 3.207663687699695 -5.117289272183619,21.818132963549715 -1.6070721032529354 17.60108143444145,27.05473218190756 -0.6667034893487426 3.6179235513561436,-5.879710628544863 75.92087119302354 -38.90386927564522,28.620518255666862 109.62179204803677 39.666954234730575,26.453502959938916 10.775718764454663 2.6912182268219444,-6.100921206613026 -60.271136725619755 39.48576883682374,29.03509348939189 -105.9945713233819 -37.95560590375179
-20.786933037264504 -3.4841801031447686 -7.613709278144255,-10.325548668744625 -3.9676619852654182 0.3697933479867705,-10.227207902731484 3.247567574088566 -4.535914767080675,21.89961963242964 -1.263709961223566 17.3590136197725,27.23345042936798 -0.8199411977122593 3.218603344215904,-5.4316340098617415 77.98303467549866 -39.53157777985803,28.813322082102093 108.32877259624841 39.04209923970792,26.74183110420946 10.565125683722508 1.9960830138436794,-5.971706374879327 -61.50243264217475 38.68293347222799,28.81673032933718 -107.65667905973758 -38.744366317193276
-20.79429480581944 -4.194293772426185 -7.109941911157107,-10.494732069468506 -4.496231157875533 0.5939974064460394,-10.205015758563018 3.203266339346943 -4.295998442609006,21.709688050959972 -1.1944110309465064 16.912954879787428,27.685207085841988 -0.9949536703518657 2.906693367223745,-5.389303033950987 79.00100859625111 -39.99543159770482,28.900727103520047 107.60077184782072 38.699957833432265,27.28345201618751 10.403155905784464 1.6033940778102127,-5.611481933434879 -62.86709556542303 38.302117162076826,28.700249632462143 -108.59610042599388 -39.19787832558124
-21.253817767820227 -3.938331582669192 -6.866457709830726,-10.768759826789442 -4.279050406431629 0.836393784679157,-9.898843896189511 2.99482944491292 -4.857290686177565,21.233681835081253 -1.68621833404616 16.395614436353974,28.346513281079574 -1.2030328501753034 2.6937690716991285,-6.266833032357591 77.91752655206406 -39.849375795890445,28.75606236174952 108.29687262606024 39.057897736536745,27.98862612881452 10.325631363608146 1.7252772340875957,-5.109432805683022 -63.990806586433614 38.479157512005806,28.79252057116819 -107.98772528128659 -38.9211337995697
-22.045441891515978 -3.0710069279905565 -6.917693520358113,-11.165817215313266 -3.6303059198399916 1.0969832263100037,-9.682040142421208 2.6948680199070223 -5.910081091948694,21.001377172762666 -2.4356761799236506 15.946228803160755,29.0649120437364 -1.3716591515335015 2.566020597967948,-7.662372691493425 75.61825897253728 -39.23628952801927,28.475350862359978 109.89536348287028 39.85602510933562,28.70610423892263 10.349028790843873 2.1775245832206744,-4.554568913369741 -64.75089112245335 38.91583700795962,28.982174031187288 -106.64109301236773 -38.29347621652876
-22.934329496899558 -2.156171111010866 -7.261497110580674,-11.65887171018202 -3.030354556458104 1.3775406814907714,-10.035413203561683 2.4171754861157457 -6.936924803138224,21.689532921422405 -2.9799095458387654 15.705796693341084,29.663927323400266 -1.4056860505103006 2.5027847109955337,-8.92678346782691 73.5134188237211 -38.458048871592894,28.21473720346047 111.50175434081058 40.65160306202959,29.268031137427585 10.484602219226685 2.6689284054092113,-4.0358529323338574 -65.09261203002576 39.19675451488382,29.09892222292097 -105.80705596837753 -37.90330389752238
-23.71745456035988 -1.660467734351585 -7.856890605743645,-12.200880689968018 -2.8634672080012025 1.6742012556835792,-11.283916275839 2.263134456489419 -7.507025693106943,23.7435811800967 -2.968219260980813 15.758306418765828,30.005315954822947 -1.2406197883400223 2.489116642291194,-9.514178831840448 72.72944807331956 -37.791915155066235,28.103989784580495 112.357077375187 41.070079770665096,29.54617710888895 10.730946474654045 2.965181849669163,-3.6276143564211494 -64.99567266962117 39.01213715007672,29.016391825602835 -106.41215016040914 -38.18644767981548
-24.35220227880411 -1.5603788473718279 -8.467130597313778,-12.643909279164978 -3.0294126531367542 1.9546624337826388,-12.96663236451261 2.2715459558284827 -7.626508161036457,26.442536190561718 -2.6155368852484844 15.900285720633581,30.14361625343313 -0.9665271522026746 2.5389060747987418,-9.399313727422507 72.96190435766836 -37.39102357510165,28.139877003092874 112.38573058402702 41.08072365008284,29.612115208127463 11.022825972492976 3.118894637891658,-3.3303985890417094 -64.61342852039627 38.58482483014074,28.82964168782981 -107.74759427444988 -38.80943924038515
-24.846402787073593 -1.6782441080685095 -8.793910775053131,-12.808294750071564 -3.2755970182022733 2.177678847433447,-14.375509811321496 2.4615308124992366 -7.438896151701055,28.69860570671431 -2.3146693604001856 15.837863859293382,30.193991033345934 -0.7220799902091922 2.675110337155845,-8.720670590385419 73.4563713583288 -37.36947505760382,28.277342396286745 111.72701181090586 40.76092516887035,29.600250992031544 11.274932211221564 3.272903900400972,-3.1215479568474795 -64.15384389947415 38.305149617907304,28.70336501422497 -108.59034446110437 -39.19688672824012
-25.206180993283624 -1.81856274321352 -8.624563788217193,-12.553582567199168 -3.3658552104916883 2.30125791030152,-14.928070083296499 2.838411994928357 -7.08895449592009,29.618637527546277 -2.392969698781062 15.344546822443464,30.243840224193136 -0.6148822254465043 2.92662062428088,-7.618977370266583 73.54891983374706 -37.79167308087221,28.474292797452154 110.51879651908294 40.18492369012995,29.61031520138569 11.422158233732889 3.5606695352330564,-2.9717578625855374 -63.69978137272312 38.50344124473143,28.772117762305527 -107.93724862421962 -38.87681571815122
-25.427496406434027 -1.6809492472143572 -8.251622891689854,-11.970622446653342 -3.1612411879820073 2.2790194592311215,-14.782952175906765 3.32617996572143 -6.728470586466091,29.458186670661618 -2.791384074895846 14.591399125890346,30.21669765667641 -0.5692056004746138 3.3573044445676543,-6.247852846046257 73.110249644061 -38.429007287571444,28.706201529642822 108.89010892331247 39.40814175399549,29.537403613393273 11.518581805689498 4.060153654915292,-2.812572460957333 -62.59618037120298 39.15579653715521,28.992567252130083 -106.08310485950078 -37.98769166822603
-25.50259480409681 -0.9267005115538122 -8.15218658419362,-11.234766627143069 -2.5583260034343063 2.0629804149637687,-14.369548001037925 3.8191119337752513 -6.511797372931644,28.892466058940613 -3.3096924186874612 13.894725583775434,29.97623186013212 -0.44234500108525854 4.043807224237575,-4.765625211247944 72.20637702357278 -38.94582039797642,28.954959492278235 106.96673960636089 38.479127539246655,29.2018525898285 11.661822519851377 4.8290433323160205,-2.5612327574566107 -59.91839441932029 40.108900199636885,29.256392639881643 -103.7968921939142 -36.890992409601104
-25.438232988845673 0.6884182178451153 -8.720233375593576,-10.517535486796737 -1.501247729098239 1.6271533920610828,-14.072499975008903 4.221424104148075 -6.565407821874413,28.528309299284263 -3.764669995196373 13.528234819492948,29.4246056618705 -0.11724242188585654 5.031221518640987,-3.3286007785838394 70.9425562547151 -39.05510058285525,29.2013370589312 104.8931858970506 37.45778112606012,28.472878560292255 11.931896685773141 5.8911339281313175,-2.14209552596557 -55.00027938338699 41.2050778862055,29.464641545138715 -101.8029931918873 -35.928291264278435
-25.341659397617523 2.7542857076557614 -9.772451327172648,-9.963059586454797 -0.263067865258655 1.097834266111925,-13.963902069204677 4.506439764572671 -6.82274735770649,28.494900756515438 -4.092186055385453 13.469275948772497,28.73107334579861 0.34493167323453516 6.146082140039007,-2.079041113392339 69.6936742345307 -38.80768171706037,29.41828210044139 102.94347705445927 36.48265724897218,27.558837893249635 12.286515610064907 7.03580999451005,-1.5289231473942526 -48.96794816714493 42.257801754221646,29.583879560985828 -100.51222267791252 -35.30109226330035
-25.362635347409658 4.58395611337257 -10.881306384053214,-9.703882253606222 0.7440013780540415 0.6657421858690229,-13.983624964616409 4.676717881310509 -7.13560130646862,28.71935578674691 -4.278492435509581 13.56982350980843,28.177881955185203 0.8076074542014005 7.12246327770543,-1.1532661654299952 68.94868565364466 -38.39732294467361,29.575433186107325 101.4464406843112 35.725585411191915,26.81155975105551 12.631649596675992 7.9532888379712325,-0.7163789926624441 -43.705726126074495 43.068337519674245,29.608389590183158 -100.20274097441188 -35.15164327171627
-25.61242434652723 5.570919486024258 -11.650143545786866,-9.834570448101676 1.1710332290421577 0.49469649143115,-14.069460045921804 4.741935217898325 -7.366436076505528,29.1143309709357 -4.322361088641915 13.683267007485954,28.01010265181828 1.1445739635374257 7.726798498114415,-0.6671243957321016 69.10724535059786 -38.01013751742866,29.647299732148504 100.68648220252015 35.33607544116244,26.537081076318188 12.880580812560252 8.379402636443714,0.268489863239923 -40.89567254203897 43.462463209340996,29.534898044841086 -101.08945787166512 -35.59032720442992
-25.886637308031467 5.773666610796467 -11.941626126745957,-10.139876377720512 1.19001503234283 0.5269452086218529,-14.14607680919404 4.76904617078437 -7.4673342117607575,29.480296661090968 -4.323345046028355 13.678211783559483,28.165892806649424 1.3164221359247226 7.992499415407616,-0.5694470583925308 69.83636652389843 -37.76562255885968,29.64826796326708 100.58361138463268 35.28038106117058,26.663265644814857 13.007817779214573 8.42541500946596,1.1347687540832199 -40.545806726575286 43.46650520991668,29.379278383137155 -102.87458837581399 -36.4690156726996
-25.826749899503927 5.575412520189408 -11.745044285860867,-10.25326766211175 1.227299933541189 0.5965416281930889,-14.131737245699812 4.852974182584548 -7.434138406633126,29.56294193322777 -4.430209404514542 13.43069317334711,28.433541761016514 1.3261288428559546 8.083344786385934,-0.7275098030870837 70.44530862398909 -37.75074609745262,29.612196212923575 100.87990121009136 35.43527082742618,26.93331277911807 13.017766251136663 8.385915227260814,1.462694727380403 -41.84670322549725 43.204718995808825,29.16675369220894 -105.00999524625837 -37.51334751210861
-25.13445207849643 5.328131741845104 -11.069585777651401,-9.868075048997369 1.6591164764905952 0.5529832458939289,-13.95668358662734 5.073665357034246 -7.264219222248174,29.146375327851747 -4.76514633679564 12.845930852079405,28.623742418011958 1.1817860085992236 8.14787565466927,-1.0250985411058642 70.33200068725681 -38.029153701005484,29.569676472039053 101.3380625903581 35.68625478923755,27.117058644132793 12.918121574360756 8.522408755086778,0.8906833007508158 -44.04538940586513 42.78748373815122,28.924277485337953 -106.97452815486508 -38.46299468149102
-24.105692272616572 5.059409230782558 -10.109147061308164,-9.268293929690694 2.358731199731645 0.4026968927338266,-13.667798467261141 5.363934594481619 -6.9668948654218905,28.391008189157976 -5.189333546758283 12.111771989184252,28.77436634130557 0.9383225301520203 8.178250645431952,-1.5115206539224355 69.77804662508314 -38.440377640508494,29.51833524737865 101.93270034296808 36.009520921874255,27.254870231866146 12.74652761830188 8.763416574036091,-0.3700017074945839 -46.990226416056686 42.184133621849234,28.694975964868792 -108.52527787658586 -39.2020543669204
-23.370379026221574 4.614530176843947 -9.161426802779978,-9.069860161267538 2.916757119005182 0.24030021527774725,-13.37751385021135 5.57391231312332 -6.55819785559806,27.668725714194732 -5.417264379766713 11.57489415485759,29.050954477221968 0.6769886472761096 8.078744923446367,-2.329102928357359 69.56165608405115 -38.698003470937806,29.43727317272095 102.7574989741381 36.43221618944069,27.53914687573195 12.557458660133161 8.8503297498335,-1.7861684039416998 -50.86751168964101 41.28473866908915,28.531064026702513 -109.57570053235055 -39.695787537875745
-23.503751511536635 3.861636260001458 -8.505166144559908,-9.82535201358883 2.9586210507684068 0.15436210274458945,-13.191776123755309 5.567613515937931 -6.058792871338657,27.32608707574045 -5.191960600059264 11.550759490072863,29.60122058938817 0.4746769064806267 7.766315937179204,-3.5923903837527735 70.38445889004538 -38.54032112474366,29.3068315519541 103.89993396726277 36.9802838478339,28.141314369208054 12.403324803073328 8.552400405394579,-2.853541700892738 -55.795953407721655 40.00698032110218,28.480078301335663 -110.04840644514194 -39.91352962368217
-24.40233984403843 2.9581453412527723 -8.185304462048787,-11.307899319513373 2.551004436010229 0.15173247548356272,-13.132662021213664 5.3811517564818105 -5.542325349440845,27.38789502191859 -4.607051619050825 11.97141563508086,30.34913110546796 0.3542185915136448 7.3167151099071255,-5.080938540831795 71.99363844322582 -38.009092536549126,29.12416968368363 105.35990513734123 37.659085572293534,28.969324887109064 12.310364129630008 7.986959425446018,-3.4456263636738322 -61.064843008119865 38.59977080590731,28.533995509408246 -109.95220710700636 -39.8614880075817
-25.524797328398158 2.2481050758055674 -8.095941280910534,-12.787761952543772 2.0452691186432546 0.18653933844407666,-13.16813882109632 5.161671911264744 -5.1166218610470855,27.67136751075272 -3.982365330205675 12.521546036117751,31.074299333148872 0.3035667520838427 6.908141590590664,-6.358180663143982 73.52060625618833 -37.34186802947587,28.89729718568762 107.08081186814991 38.46070459892546,29.761147624466922 12.287929547658509 7.495904637818471,-3.6796560950459236 -65.42836435234587 37.525719633322126,28.64894726842704 -109.35152766745074 -39.5696584301822
-26.34207229442738 2.055077589951203 -8.132366603489839,-13.565704903787786 1.780482136600593 0.21165568820082484,-13.263991385265717 5.049036369065061 -4.876605415829855,27.993848571757354 -3.617699706966501 12.901502169436279,31.565284574294175 0.31019873420720223 6.710648153053536,-7.013821715190814 74.14471297314151 -36.77340522962539,28.636914997045075 108.98798645958323 39.36766282396565,30.266285608867822 12.342848402982538 7.400690734016479,-3.6766802829152154 -67.71795380577943 37.21727118126905,28.78132886074275 -108.3261122215334 -39.075329773457476
-26.60113671831102 2.3702067837426655 -8.242058659151649,-13.49031887444425 1.8556602062628407 0.17465311024025307,-13.367963729909118 5.054442675793912 -4.727389392764682,28.223198846128348 -3.477562409040107 13.090445666302056,31.770570167673267 0.3630795680794135 6.755467789965003,-7.058424623028558 73.86525259781173 -36.45314779621562,28.38909146179685 110.76550030814785 40.23090078663724,30.4366409331978 12.450332807986086 7.682043828076326,-3.554276159961722 -67.97901484228326 37.63173101662858,28.89966641506182 -107.15845850833949 -38.51295043431233
-26.253005011068744 2.9389060730650303 -8.411074302863552,-12.815158753457169 2.1923698409718826 0.019184276431377933,-13.41446370191669 5.09397664269339 -4.4337759340495735,28.264621907750445 -3.278607505000619 13.273640438103907,31.756858634751154 0.4522740110618686 6.971215017200228,-6.813659293305527 73.28763836211729 -36.467473525242106,28.226039247185803 111.91907971997716 40.80409134342495,30.373733299684208 12.562224235277634 8.068816364956119,-3.4274542693235066 -67.15434073503127 38.3751721899252,28.981453434660047 -106.28094398828351 -38.08879114898488
-25.273973589023537 3.506007415979726 -8.623986265819472,-11.804963278441038 2.7027680958722438 -0.30324441130630486,-13.34147973786026 5.0854996978980465 -3.77580828225568,28.03118057960801 -2.751350192366838 13.62988555068461,31.594951883700467 0.5665733833906486 7.282172054426921,-6.597092068002819 73.00617004523549 -36.88832799054946,28.214500110119435 111.99243276350303 40.858998435344525,30.1823857236513 12.631775754654916 8.295470774617357,-3.4074015539473534 -66.18200385097937 39.0568922163117,29.005899826484505 -106.10337262521436 -37.99837787453213
-23.995307865405497 3.906031370462239 -8.82400553607696,-10.753738734340052 3.2081088542192844 -0.7035343544159605,-13.154418529506879 5.016233103810414 -2.854417578144631,27.556874655659517 -1.966955170296285 14.142359832187083,31.378647315494526 0.6722707346061737 7.579259072555821,-6.528930755548646 73.17663608813348 -37.56333967938534,28.31586365725706 111.25939063913559 40.52015232476744,29.96388467634129 12.646172367613072 8.29586780554115,-3.5401345217429663 -65.55401831671337 39.484613465922045,28.978297644895754 -106.58380258947862 -38.22201442665833
-23.04852101569523 4.0493608984113205 -8.919357593303626,-9.9802471331305 3.452756259096699 -0.976205666105872,-12.915711974862957 4.932065598613967 -2.041955492734058,26.977997525148485 -1.2847228666156305 14.628778255792119,31.221192889649604 0.7166291271521493 7.72517721331303,-6.562448985396099 73.58391353059609 -38.15040021782896,28.402408199240856 110.6113535137411 40.21046792035063,29.816525270720074 12.621300135880023 8.172527721416136,-3.816545775559969 -65.38510336920488 39.63389442754322,28.92600032556892 -107.298186389275 -38.557960648521004
-23.039620863743917 3.857302807597284 -8.82267495436192,-9.789739921365813 3.198592273696179 -0.9243795887261582,-12.693345932438584 4.879204230329551 -1.7056125883214406,26.44280872992939 -1.0580678015077085 14.904200917808325,31.23016171502217 0.649680806778376 7.590857338532668,-6.647907874130318 74.00326335032229 -38.31774796267183,28.35046621251032 110.9121616907715 40.340149398240456,29.832706905642812 12.57363176073755 8.030715217696637,-4.22015379967278 -65.76575982156025 39.48870234116157,28.876304082334503 -107.82354196528347 -38.8050419256621
-23.8168750116392 3.436118445693866 -8.565985650588955,-10.177761809245279 2.639644132887133 -0.6170375838988422,-12.636742756584487 4.8707023833671865 -1.9154275729666614,26.289067081361495 -1.3161330870832622 14.839112341861481,31.376860543066307 0.49446454065547824 7.244852977374847,-6.784245932138779 74.25476425376138 -38.087392556493754,28.185069717113635 112.00675441326494 40.84022244269548,29.979097048471743 12.512759647027769 7.92002975751425,-4.612295418894477 -66.51919635281823 39.10066060086587,28.84020372530009 -108.02084064717155 -38.89862142501861
-24.4957353835353 3.070939943069625 -8.296785920457957,-10.840338033877922 2.387869677747541 -0.3802763240075583,-12.974082585907743 4.887550310502688 -2.4540615927922103,27.037797412141686 -1.7744567701342997 14.357598388964453,31.50081201214399 0.3446241951054112 6.946839873146457,-7.017477905588394 74.20183847504467 -37.823478237851205,28.075059064408602 112.75468483825175 41.178295987354076,30.10076696780801 12.441622218511956 7.836236582468878,-4.736144751298339 -67.21012161680153 38.58682332358487,28.812928867111957 -108.02566700180336 -38.90610892259316
-24.192877446249074 3.0441442314835965 -8.16395967435376,-11.468070843763751 3.0478542319993935 -0.5414398356402459,-13.920562955252988 4.910309391474314 -3.0949121613322492,29.17885506357748 -2.143340753975434 13.397818514785154,31.43991196514446 0.29415597609748306 6.955735027217577,-7.3886614397848716 73.712329461561 -37.89167242944155,28.18955659248912 112.01236725041908 40.82034548048283,30.041345744329067 12.363430381987827 7.773389600792734,-4.340237098862953 -67.40259691719707 38.06607750128308,28.78939437832025 -107.98134020435268 -38.898442141785964
-22.890929432739426 3.3585598542232336 -8.223809650959058,-11.941105411908577 4.545068957291939 -1.1705792226307605,-15.241637302203582 4.944040298861145 -3.680538887237499,32.12892873292688 -2.343807597854331 12.227683924591398,31.136524705646988 0.3666744644213954 7.292408447203009,-7.747824222524889 72.7275802250168 -38.31147941460363,28.542239953460424 109.66784437544004 39.71314442952151,29.742487903011472 12.296512230366327 7.739165356850344,-3.4560600978094054 -66.93620160419691 37.63389488032217,28.773678413519686 -107.93407166059647 -38.89455809109091
-21.529906554111896 3.707950013660312 -8.43028195742332,-12.349143292239651 6.0541645538536 -2.0532856235062247,-16.205527391841144 5.020889829170344 -4.129966160882168,34.11822696452696 -2.529850087461371 11.479675397687359,30.64851361270253 0.5079811613521947 7.714548243368101,-7.733793514854502 71.27019401269743 -38.71968966722364,28.974929021490645 106.74971495347512 38.33503090174291,29.2542237227623 12.275909235967596 7.756301417906139,-2.4279300868373572 -65.95512447123505 37.35985959274255,28.779989944093465 -107.82271159273148 -38.855902413130316
-21.077258709955974 3.778940284534766 -8.732985693683073,-12.790827317840685 6.730820417740799 -2.961961999029841,-16.074502255649374 5.172709907969397 -4.370813115415537,33.366962336734765 -2.8638144282184337 11.786981636532527,30.040385159990425 0.6608748864300447 7.971551569690118,-6.987791761686484 69.37452303152497 -38.7407671776281,29.322319466524615 104.33501027104097 37.1870758892958,28.633018173117595 12.33664629724097 7.847521752561361,-1.6122309623255011 -64.62423845255567 37.30836963227654,28.822033690724826 -107.58586282716375 -38.743712630348575
-21.690783500040535 3.582473343556483 -9.116682778796203,-13.295103752874162 6.45883758663395 -3.725135933935658,-14.835119025543612 5.369225502403057 -4.500525563315599,29.97772572393902 -3.3724534734906135 13.117843182363437,29.401034007959638 0.8056579536036821 8.007948400552316,-5.638982264586797 67.35116256318062 -38.273049169077055,29.483902693845653 103.1129162536444 36.59547240246696,27.965591818269232 12.48146898326835 8.006511219673715,-1.2144264208290094 -63.28860181923015 37.4029702250469,28.87585103354757 -107.35652186011976 -38.620553193504165
-22.504492729093666 3.539583016635091 -9.610585023311122,-13.802789231980775 6.042709343417463 -4.242303245600358,-13.389779658314401 5.501603539904006 -4.831291054907829,26.433329931346613 -3.9110655550311035 14.599689672712156,28.850193090707158 0.9700549404878537 8.01500945290383,-4.433517763639987 65.86001059123316 -37.56117895891727,29.44110275245773 103.28219772706572 36.6652844635378,27.376922691740123 12.672306430093489 8.190235424585971,-1.2491452081492302 -62.521112852614976 37.3891016715154,28.86985896744165 -107.51349129231343 -38.67711400904338
-22.59888537379518 4.0908298751499395 -10.245264340935545,-14.249305425635702 6.334998711269565 -4.420372472629347,-12.684874204836758 5.458473975484141 -5.682800680330602,25.328538810286272 -4.327043442235599 15.318467996521807,28.50650650506323 1.1840955241721225 8.197569190450317,-4.144855226913159 65.57037993853292 -36.8707066746198,29.182238526538065 104.99809176837883 37.48145263548821,26.991218637681957 12.868621188348488 8.354547118719086,-1.7172049726706005 -62.896640565320745 37.00643494635787,28.7310430829791 -108.44234584501321 -39.10788793723748
-21.665803560413384 5.335978391818091 -10.976340121562972,-14.58307489654921 7.6357512214898 -4.30998242251496,-12.924778130419893 5.254238840727345 -7.05951837768092,27.21050277358348 -4.623246514313097 14.986139780351737,28.334476636067595 1.4407652481303017 8.646629601863198,-4.92948253725876 66.49858893270887 -36.40138327921886,28.777983625091338 107.8094313372045 38.83051699920545,26.770640318460842 13.03750738758357 8.51775385366026,-2.5405864868304655 -64.35454449787795 36.27890590647459,28.467992696565897 -110.07652466723131 -39.88541435687019
-20.282151827791285 6.881410857056648 -11.650920419676924,-14.77134204432457 9.445113911903094 -4.169855134935436,-13.239626975204182 5.08538470942634 -8.509542942365284,29.661972140398156 -5.027608485318371 14.220969623739519,28.07544963415182 1.6794195950564785 9.288393503612546,-6.050680305293293 67.71559340942855 -36.257700032158425,28.41823941242107 110.38713738654413 40.06701303918585,26.442747142206954 13.157107655485493 8.788581133907755,-3.527135678057144 -65.91413536561677 35.64199041316631,28.20743763294675 -111.69489475703469 -40.660902990971465
-19.090118608807902 8.295833068848966 -12.108819191759842,-14.78338582570634 11.202195828834972 -4.272684647493727,-12.68648691421694 5.160546995603846 -9.548230170567274,30.059878991335193 -5.781396349317864 13.707406599664836,27.456957480603606 1.8358210836493751 10.035419136641062,-6.708360530728925 68.22740008616891 -36.53468220748037,28.3001328212386 111.34787877150261 40.51869051657174,25.72071725993722 13.206828855051498 9.280752892490742,-4.475816203933788 -66.53270396934438 35.559053681803896,28.084158607518802 -112.53167307340384 -41.06360472901955
