-17.9 -10.3 -2.4,-10.0 -3.9 -7.7,-26.1 5.1 7.2,43.3 0.4 3.5,6.9 -2.8 1.5,-11.4 -20.7 -55.5,23.3 48.1 10.5,6.8 8.4 0.0,14.7 38.0 45.1,24.5 -52.1 -12.1
-15.2 -10.3 -1.9,-9.5 -2.9 -5.9,-24.7 5.8 3.7,40.3 -1.6 0.7,6.5 -3.2 1.3,-12.3 -25.5 -53.8,23.8 49.6 11.1,6.2 8.3 1.0,15.8 40.8 45.7,23.5 -48.8 -10.8
-14.4 -8.1 -2.0,-7.1 -1.5 -6.8,-24.9 6.3 6.3,40.3 -1.1 3.0,7.4 -3.3 2.9,-13.2 -23.2 -56.0,22.4 45.4 9.4,6.9 7.9 1.9,13.3 34.0 41.7,24.4 -51.7 -12.0
-16.5 -11.3 -5.1,-10.2 -2.8 -9.7,-29.7 5.8 8.2,52.4 1.1 3.6,5.9 -1.4 2.7,-13.4 -18.7 -55.8,23.4 48.5 10.6,5.6 9.4 -0.1,15.7 44.9 50.3,24.6 -52.5 -12.3
-15.2 -8.4 -2.5,-7.3 -2.2 -7.1,-24.1 5.7 6.2,39.3 -0.3 3.3,7.4 -3.1 2.3,-12.1 -22.4 -56.0,22.4 45.5 9.5,7.0 8.1 1.3,13.4 36.9 43.2,24.3 -51.3 -11.8
-20.3 -13.3 -2.5,-12.5 -6.6 -6.1,-23.0 3.4 10.6,43.5 4.8 7.0,3.6 -1.8 0.6,-8.4 -17.9 -55.8,25.0 53.9 12.9
3.8 8.8 -3.5,8.4 20.1 50.1,25.0 -53.9 -12.9
-17.8 -11.6 -4.6,-9.8 -6.2 -3.4,-14.1 4.3 6.4,22.5 3.4 7.5,3.5 -1.9 0.6,-1.6 -33.2 -50.4,25.8 56.9 14.2,3.4 9.6 -0.2,8.7 33.4 55.2,26.0 -57.4 -14.4
-20.3 -11.0 -3.0,-13.5 -6.3 -0.7,-20.9 2.1 7.2,32.5 3.7 5.1,4.1 -2.6 -1.5,-2.8 -28.8 -50.0,25.2 54.5 13.1,4.4 8.9 -2.1,14.6 30.1 52.8,28.6 -70.9 -20.6
-17.5 -17.2 -2.2,-14.0 -8.9 -1.7,-21.0 3.2 11.7,36.2 5.3 5.4,1.1 -1.5 -1.0,-6.5 -17.2 -49.4,22.6 46.1 9.7,1.6 9.2 -5.1,13.4 9.6 51.1,28.0 -66.9 -18.7
-18.4 -17.4 -1.2,-13.5 -9.7 -0.9,-18.3 3.2 11.3,31.4 5.8 4.8,1.2 -1.7 -1.2,-6.1 -12.7 -49.8,22.6 46.1 9.7,1.8 9.0 -4.9,13.3 7.4 50.3,28.5 -70.0 -20.2
-17.7 -13.8 -0.1,-12.0 -7.1 -0.4,-19.7 3.9 7.3,31.0 1.9 2.5,2.8 -3.2 -0.8,-6.9 -20.1 -50.4,24.8 53.2 12.6,3.1 8.2 -2.1,13.6 25.4 50.4,27.8 -65.8 -18.2
-14.8 -8.5 0.8,-12.3 -0.8 2.8,-21.0 2.5 1.3,32.0 -1.1 1.4,2.8 -4.8 -1.0,-7.3 -22.1 -48.2,25.2 54.5 13.1,3.0 6.9 -1.1,16.0 23.2 50.5,27.7 -65.2 -17.9
-20.3 -11.0 -3.0,-13.5 -6.3 -0.7,-20.9 2.1 7.2,32.5 3.7 5.1,4.1 -2.6 -1.5,-2.8 -28.8 -50.0,25.2 54.5 13.1,4.4 8.9 -2.1,14.6 30.1 52.8,28.6 -70.9 -20.6
-19.1 -18.7 -0.2,-14.8 -10.9 -0.8,-18.3 2.8 14.0,34.6 7.7 5.5,1.2 -1.7 -1.7,-6.5 -8.9 -49.1,23.6 49.1 10.9,1.9 8.9 -5.9,15.3 7.9 53.7,29.1 -74.0 -22.1
-19.7 -17.4 -2.7,-14.5 -9.6 -1.9,-18.0 2.6 10.7,31.0 6.6 7.0,1.4 -1.1 -1.6,-4.6 -15.4 -48.3,23.4 48.3 10.6,2.0 9.7 -5.2,12.5 0.4 49.1,28.3 -68.9 -19.6
-25.2 -18.8 -2.0,-18.0 -15.0 0.4,-18.7 0.3 9.3,32.2 7.8 6.8,0.9 -0.6 -4.2,-4.0 -1.6 -45.7,25.1 54.2 13.0,2.0 10.3 -7.1,7.4 -9.7 44.6,28.9 -72.4 -21.3
-27.3 -17.5 1.2,-22.5 -9.8 -1.1,-29.8 -0.3 7.5,52.3 3.8 1.1,4.9 -2.6 -5.9,-9.0 -3.4 -46.3,24.4 51.9 12.0,6.1 8.8 -6.5,3.7 -7.3 36.8,27.6 -64.6 -17.6
