-24.6 -17.5 -2.0,-18.5 -8.3 -8.1,-26.8 3.9 10.7,52.4 4.6 7.5,4.5 -0.9 -0.4,-8.5 -8.5 -55.4,25.3 54.9 13.3,4.9 9.8 -3.8,7.1 2.8 49.7,24.7 -52.9 -12.4
-20.480615702648098 -17.30096717443217 -1.1368413323078164,-14.948753922168924 -11.066101714788871 -2.398818598729922,-18.534976036371834 2.6708405774361803 12.173519662828195,31.090936814297052 6.443056269639733 7.487872010376987,1.3590035368850262 -1.8522778953632801 -2.428109102984022,-3.41390969138512 -29.33477950472463 -49.22391433229378,24.21232263586587 50.99003644034978 11.641226849714148,1.9889745970022465 9.272863443426125 -4.666154655820712,4.6069271102687015 -3.5957445366686582 46.06387492502044,23.433474205823742 -48.44072357219887 -10.593994895981732
-19.557395057936475 -15.988651950185718 -1.3425988408298333,-13.21508690633701 -9.336989807229015 -2.459177403548725,-17.86492244280032 3.184437345926561 11.337363015029796,28.42525917127703 5.5827872443030975 7.988810156288167,1.8660781992564357 -2.173056768764017 -1.7241255468728411,-3.0179850473581964 -28.337759589738944 -49.59984408296841,23.948261028712768 50.215575516241486 11.35249373244516,2.319133781506748 9.088730455377316 -3.5788919133847235,4.992401612398367 -5.304387418068614 46.36573015129711,23.438966712954585 -48.48945938485422 -10.635814642433388
-18.253063693957234 -13.710597456101095 -1.608300252603334,-11.855831932163515 -6.920570421994555 -3.3537700350465562,-17.581144888763756 3.888002844307806 10.67041878630204,27.18432050482106 4.597205970348806 8.670415736603273,2.8290281195525777 -2.5450500728071206 -0.4417655204906303,-3.313838930614071 -24.07345002088241 -50.71842835343166,23.709357817618947 49.54598074408145 11.104493919680174,3.019164480979119 8.75308585780351 -2.086742472360345,4.204038400122622 -5.9355210804280745 45.21265127743063,23.123628910697672 -47.58579072198734 -10.308254926932905
-16.7069668031047 -10.837414193531052 -1.9772919343695379,-11.113870000931911 -4.403438339359718 -4.928375710217905,-17.93997651620551 4.636435005873805 10.14451157211259,27.826945930346877 3.5050678190134468 9.334645521705955,4.115031316860596 -2.879227401830222 1.1577053791593828,-4.274746163645845 -17.720961051681954 -52.39598307414868,23.494305548395374 48.93213877376635 10.865174712791154,4.008710912371722 8.348237151620138 -0.4528820951025336,2.1917248755850505 -4.850147151825572 42.41309785519709,22.470535613938818 -45.657656067120826 -9.573026512126221
-15.286957824003354 -8.30935207934063 -2.5875939720088934,-10.756379808017831 -2.525714924861962 -6.503534314956581,-18.484486250906233 5.179429853383946 9.511594369382486,29.201741513344224 2.5799405253582766 9.796110446574264,5.258484669744378 -3.0464496552541656 2.4791297010065767,-5.37179469870207 -12.351152587017822 -54.14524802623676,23.34347602434536 48.47048892657072 10.67571118097997,4.922777614982557 8.086165791488291 0.8522026346484407,0.18415525703991625 -2.393898569252269 39.27743271898236,21.867868514215175 -43.87911802484446 -8.887016180988311
-14.373676780489578 -7.096234730629071 -3.580305807265173,-10.518933774718207 -2.0273286817258476 -7.3708683746262755,-18.713824003755164 5.2634042203649445 8.512429405680447,30.058299245234736 2.1094628777174247 9.871689363980506,5.776184682583974 -2.9168198832049663 2.9118520075174295,-6.047456633484718 -11.130336184209044 -55.4625348696233,23.2995864191666 48.26653277475083 10.581976006087016,5.380701519042979 8.18497911185059 1.349815218732127,-0.511221388553224 1.0239374169147448 37.21225292268272,21.727950823869183 -43.498633924264794 -8.736792876623728
-14.141747478986499 -7.516226696537319 -4.878075055814472,-10.266732984704834 -2.982770202312935 -7.3239409332637235,-18.529774574842033 4.886076087646836 7.152760795037801,30.06325232617421 2.140296902847436 9.460442400320852,5.5462125814545775 -2.4857921811469126 2.3373753493784273,-6.166055046320013 -14.895004580789825 -56.15139178432575,23.36856513754381 48.34960149199909 10.59982326049098,5.27403680775447 8.678058867332632 0.9515962822637619,0.6919263060223295 5.36833670098852 37.00163738320502,22.1862561951949 -44.921130784933275 -9.280911943961788
-14.446468588926768 -8.877420970871077 -6.064949002927981,-10.065902948330574 -4.435101317147207 -6.934322838848806,-18.458206842517317 4.434680214379781 5.849054575502916,30.304647829856357 2.34559064705963 8.588810656108446,5.00664091105882 -1.9431147648186138 1.4000484340170216,-6.245782035501734 -20.87043134362813 -56.49158355650113,23.49931799219158 48.63096213423391 10.698578171904979,4.916274406422197 9.312462163843662 0.1742089914358502,3.2621972733819478 11.184383051551798 38.46476190512277,22.94914146241148 -47.2440636465909 -10.169507650760256
-15.11555733134149 -10.401728516581473 -6.6993638752267515,-9.998500496007471 -5.343633840679018 -6.8364648252216575,-19.072579169001273 4.327083157070301 5.050226881664565,31.979883270824807 2.3687452694106566 7.296157968794932,4.641664020030377 -1.4943309096325323 0.8064625984608603,-6.855685035971823 -25.981488978013378 -56.800693310391885,23.63609881132996 49.01199072105006 10.843643555968962,4.655813198337576 9.81197764207062 -0.4157443295559327,6.571811648019165 19.05567405125493 41.33466956077453,23.687986389822928 -49.459092125783194 -11.011734322349412
-15.966604825920301 -11.374525879674737 -6.6558814013496495,-10.024973156584103 -5.115006959586399 -7.301067627610138,-20.39830684484231 4.722645711990405 4.94616664124356,35.12450807919377 2.067459081513421 5.798550894756243,4.751197489237755 -1.2624053795609773 0.9594333534424798,-8.080041791521896 -28.07390310574929 -57.11338585689494,23.745926361583606 49.4178920870166 11.007621597361856,4.716280104183163 10.02282240857609 -0.4410022547127838,9.972329810281753 28.541868188212142 45.062943276261215,24.24826333423174 -51.15807972873686 -11.664478660777752
-16.79918350931559 -11.194122134312353 -6.371586341138138,-9.889373285152836 -3.9518473647482586 -7.951564517803553,-21.485601173758738 5.3207359101898595 5.265842139237338,37.70664497613285 1.680757061335117 4.626486014003134,5.307245831420255 -1.223360302594623 1.7212285552885707,-9.14051657641827 -26.6319925120751 -56.96089282549688,23.836328011619017 49.8162727620539 11.175925250120669,5.099279138650594 10.009066388788185 0.13877786981667795,12.778549565363729 37.38059656094483 48.60032750178207,24.78523014022009 -53.00091044470832 -12.425449657308262
-17.411356216816973 -9.274688218474491 -6.339727441504284,-9.3146113388047 -2.139358485334285 -8.346081726005083,-21.288524951308965 5.774406487967323 5.691098864774872,37.490781701715676 1.485765679584538 4.340102212377209,6.247432199555431 -1.3380050918802673 2.898272995906952,-9.173535048158891 -21.315353668474657 -55.82549544463911,23.918958456875338 50.17912383699284 11.335278631072613,5.782985823206175 9.857135085688844 1.3281588737557324,14.304326614103307 43.1315718660436 50.850226398457735,25.48505450101302 -55.753054086718606 -13.635738313342072
-17.652559367185248 -5.653772846111159 -6.784368147166546,-8.195631938362094 -0.04015657598165745 -8.251762169811673,-19.40782619457669 5.89948741636775 5.961416232447131,33.64181072371601 1.5813726350912152 5.090395446931721,7.423805371654004 -1.557481231989056 4.278987454334962,-7.85936855264105 -12.723997314345423 -53.62444852605147,23.99832149635383 50.480456245764415 11.471016360257918,6.665557495219709 9.638491117510906 2.9767195612751185,14.28410077172813 44.81696591970675 51.34933097022516,26.382698318758653 -59.51402438488224 -15.332285559211778
-17.477437016144485 -1.6455361394837302 -7.3783090234513775,-6.779687381476426 1.8246088725659215 -7.86379272016656,-16.76859549943139 5.845159136890724 5.934301808612431,28.19250450266795 1.70145157203623 6.190480456210685,8.513166903972936 -1.813131317653279 5.6149224054190965,-5.992026584497641 -3.383802625907913 -51.16578653410066,24.06427665342675 50.6984173462211 11.565627516026902,7.481282758481233 9.393954705359308 4.616647929953924,13.313623403671226 44.45391132796165 50.93123634471274,27.2034701115215 -63.01952781527726 -16.929165316619923
-16.85394810141311 1.2817706204796366 -7.727584549154659,-5.35717664317354 2.9155259110405622 -7.429534994817856,-14.457050056708612 5.801042295635932 5.4823947070048344,23.52393916168335 1.535923337852736 6.852450752693264,9.171420507496746 -2.033948594423768 6.653338597333013,-4.500562224974398 3.9461938965097336 -49.36534320986058,24.10481444750637 50.811424465502824 11.60118876574954,7.944867084843393 9.160596693777613 5.742016031190634,12.093571324424405 44.42140452198654 50.58634487130431,27.635376729191265 -64.84105678550216 -17.765457693445992
-15.871150854630443 2.2816268985461723 -7.6432327831687585,-4.220939087403027 3.014643011323215 -7.130138455841462,-13.270904090728068 5.851405751747327 4.66850237483766,21.21954720888053 0.9820183108936662 6.728291738187489,9.211180048672812 -2.1698833142731058 7.20439661575873,-3.9427773880871 7.249397009839609 -48.783261326129754,24.086690064349742 50.731724275597074 11.541873328607695,7.90575956020042 8.976215507124536 6.055791915547868,11.174389626433904 45.741208945140606 50.748052714202615,27.538076129058137 -64.32674685135758 -17.53626165394717
-14.904357131020994 1.9771547402717558 -7.420877744803607,-3.669582651569905 2.663874433225586 -6.99024075692128,-13.325910627636352 5.8314885823542255 4.004950772496965,20.977297020187503 0.427003619588187 6.509802039080161,8.815489711099113 -2.2204237473859503 7.226939221366369,-3.9989131991883133 6.264188674503217 -49.13890395131123,23.926462763626784 50.21514973872388 11.309534384148131,7.531915237950841 8.880329417594325 5.754730465675241,10.75140675843489 46.22687064963756 50.533108898680204,27.176973898269686 -62.66055695131944 -16.778230926269895
